ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--21-02-31
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--21-02-31 ; 300F-300C , 300F-300C-3000-3004 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; can see both but cant differentiate between

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.61537325,-1.3278607,-15.193599,0.12799466,0.84680367,0.2992931,0.4206716
0.83005905,-0.49938896,-14.928491,0.64108306,0.5778051,-0.47653422,0.16753805
0.6153667,-1.3281341,-15.193704,0.1278189,0.8468629,0.29960197,0.42038584
0.8308524,-0.49940273,-14.928763,0.6411917,0.5773917,-0.47688296,0.1675555
0.6150571,-1.3283851,-15.193498,0.12761287,0.8469087,0.29997674,0.42008877
0.8313803,-0.49907982,-14.929062,0.64128023,0.57702035,-0.47723225,0.16750136
0.6150607,-1.3286161,-15.193596,0.12741672,0.84690833,0.30033252,0.41989493
0.8323865,-0.49870983,-14.929403,0.64134413,0.57665116,-0.47760123,0.16747645
0.61506397,-1.328829,-15.193413,0.12718135,0.84692603,0.30067444,0.4196858
0.83350825,-0.49876428,-14.929785,0.6414682,0.57625693,-0.47791293,0.16746871
0.615067,-1.3290256,-15.193244,0.12694618,0.84692866,0.30099398,0.41952258
0.83472407,-0.4982914,-14.930198,0.64157605,0.57592887,-0.47820544,0.16734923
0.6148226,-1.3292072,-15.193088,0.12660286,0.8469617,0.30137235,0.41928807
0.83538395,-0.49838254,-14.930615,0.6417255,0.57564574,-0.47836155,0.16730419
0.61459637,-1.3296101,-15.192944,0.1262883,0.84698087,0.30175802,0.41906664
0.83668256,-0.49847612,-14.930423,0.6418539,0.5754385,-0.47844782,0.16727732
0.6143552,-1.3295263,-15.192789,0.12573451,0.8470041,0.30218714,0.41887677
0.83799696,-0.49857083,-14.930228,0.64194226,0.5753983,-0.47838727,0.16725011
0.61437654,-1.3296969,-15.192642,0.12527162,0.8469496,0.30261382,0.4188177
0.8385613,-0.49797195,-14.930042,0.64199835,0.57545245,-0.47829884,0.16710167
0.61463374,-1.3298547,-15.192507,0.1248219,0.8467829,0.30323133,0.41884255
0.8390983,-0.49740216,-14.929866,0.6420625,0.575596,-0.47806522,0.16702922
0.61464643,-1.330001,-15.192382,0.12446616,0.8466189,0.30387044,0.4188166
0.8396077,-0.49686152,-14.929698,0.6421283,0.57570875,-0.47785655,0.16698503
0.6144292,-1.3303766,-15.192257,0.12413364,0.8464902,0.30452365,0.418701
0.8393638,-0.49637815,-14.929547,0.64223546,0.5758253,-0.47759014,0.16693304
0.6141921,-1.3305292,-15.1921215,0.12381301,0.8463644,0.30507523,0.41864884
0.8391445,-0.49594364,-14.929413,0.6423254,0.5759286,-0.47734994,0.16691774
0.61421865,-1.3306788,-15.191987,0.12363949,0.8462253,0.30559796,0.41859984
0.83894646,-0.4955512,-14.929291,0.6424257,0.5760126,-0.47710824,0.16693233
0.6142444,-1.3310825,-15.191858,0.123584956,0.84603786,0.30625984,0.41851127
0.83876663,-0.49583718,-14.929822,0.64254516,0.5760669,-0.476862,0.16698872
0.6145136,-1.3312103,-15.191739,0.123588845,0.84585214,0.30676943,0.4185123
0.83860254,-0.49609816,-14.930307,0.64264035,0.57611203,-0.47664192,0.16709544
0.6145303,-1.3313332,-15.191624,0.123682454,0.8456654,0.3073271,0.41845283
0.838451,-0.49571863,-14.930756,0.64269316,0.5761711,-0.4764549,0.16722186
0.6147801,-1.3319172,-15.191515,0.12393262,0.845449,0.30794388,0.41836277
0.8389507,-0.49599567,-14.931193,0.64275026,0.57619643,-0.4762839,0.16740182
0.6145261,-1.3320321,-15.191395,0.12400726,0.84539926,0.3083834,0.41811723
0.8381629,-0.49624115,-14.931581,0.6428463,0.576215,-0.4760932,0.16751197
0.6142403,-1.3324679,-15.19126,0.12419624,0.8453141,0.30883473,0.41790015
0.8380469,-0.49645942,-14.931926,0.6428936,0.5762535,-0.47592518,0.1676752
0.61427224,-1.3329188,-15.19112,0.12434199,0.8452101,0.30922854,0.4177761
0.8385332,-0.4972669,-14.932257,0.6429191,0.576287,-0.47578502,0.16786014
