ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--21-03-45
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--21-03-45 ; 2C03-2C07 , 2C03-2C07-2C0A-2C0D ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved top left. persistence. 2 flickering at an angle to each other

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.7429796,-1.2484715,-15.247357,0.106903784,0.83335626,0.28709456,0.46007144
0.9797465,-0.53802294,-14.97311,0.6494003,0.53245336,-0.505701,0.19758321
0.7426292,-1.2486076,-15.247046,0.10689561,0.8334298,0.2870632,0.45995975
0.9798469,-0.539457,-14.97209,0.6495493,0.5323298,-0.5056776,0.19748627
0.7423372,-1.2498456,-15.246789,0.10697496,0.83342946,0.28712386,0.4599039
0.9799312,-0.53928894,-14.971233,0.64965475,0.53222173,-0.5057246,0.19731021
0.7420924,-1.2487473,-15.246572,0.10691682,0.8334408,0.28714058,0.4598864
0.97869676,-0.5404551,-14.970535,0.6497595,0.53211796,-0.50576055,0.19715361
0.74188554,-1.24782,-15.246388,0.10688736,0.83341956,0.28716382,0.4599173
0.98022115,-0.53887224,-14.971229,0.64972574,0.53197455,-0.50603384,0.19695035
0.7417098,-1.247032,-15.246232,0.10686553,0.8333787,0.2871298,0.4600178
0.980249,-0.5375551,-14.971806,0.6496815,0.53189313,-0.50626683,0.19671687
0.7415597,-1.2463585,-15.246099,0.10671981,0.83316857,0.2872857,0.46033454
0.9802725,-0.5364453,-14.972292,0.6495895,0.5314921,-0.50682676,0.19666319
0.7441191,-1.2459668,-15.245859,0.10663409,0.8324593,0.28775615,0.46134287
0.98398036,-0.53559715,-14.972063,0.64939994,0.5306995,-0.5076963,0.19718596
0.7457602,-1.2463555,-15.2457485,0.10666813,0.8319953,0.28804627,0.46199036
0.9848143,-0.5372866,-14.971241,0.6493551,0.53042305,-0.50784874,0.19768418
0.7472705,-1.2467133,-15.245648,0.10669869,0.8315696,0.288244,0.46262598
0.98554164,-0.5374245,-14.970525,0.6493309,0.53017807,-0.5080111,0.19800328
0.7486534,-1.247041,-15.245555,0.106748894,0.8311406,0.2884204,0.4632751
0.98486793,-0.53626865,-14.969939,0.6492993,0.5299879,-0.50819963,0.19813249
0.7487769,-1.2473276,-15.245475,0.10670807,0.83080333,0.28860244,0.4637756
0.9855493,-0.537797,-14.969432,0.64925146,0.5298318,-0.5082326,0.19862168
0.7512177,-1.2475995,-15.245397,0.10673071,0.8304223,0.28872332,0.4643773
0.984903,-0.54028815,-14.969008,0.6493277,0.52964896,-0.5081208,0.19914496
0.75349414,-1.247853,-15.245325,0.106765814,0.8300731,0.28876793,0.4649654
0.9843643,-0.54004586,-14.968656,0.6492742,0.5295177,-0.508274,0.19927773
0.75550497,-1.2493259,-15.245262,0.10685322,0.8297354,0.28893113,0.4654465
0.9850605,-0.5398295,-14.968341,0.64918643,0.5294224,-0.5083904,0.19951987
0.75601256,-1.2493589,-15.245206,0.10679333,0.82950944,0.2889682,0.4658398
0.9856877,-0.5408431,-14.968057,0.6491291,0.5293734,-0.5083423,0.19995861
0.7564587,-1.2493879,-15.245156,0.10677559,0.8293007,0.28901517,0.46618623
0.9862402,-0.54051834,-14.967807,0.6489582,0.5293977,-0.50841635,0.20026019
0.75820965,-1.2494143,-15.245111,0.10682849,0.82908523,0.2889589,0.46659207
0.98670655,-0.53906727,-14.968773,0.64875823,0.52948123,-0.50854516,0.2003606
0.7583717,-1.2480806,-15.245073,0.10673426,0.82898164,0.28884897,0.46686572
0.98711824,-0.53897023,-14.969625,0.6486929,0.52955765,-0.5084746,0.20054923
0.75851196,-1.246927,-15.246406,0.10669748,0.82884926,0.28881097,0.4671327
0.9874836,-0.5400821,-14.969185,0.64874214,0.52961767,-0.50822073,0.2008746
0.75863326,-1.2459289,-15.24756,0.106697224,0.8287836,0.28864327,0.46735278
0.9878033,-0.5398575,-14.969996,0.6486761,0.5297862,-0.5080745,0.20101279
0.7587381,-1.2450663,-15.248555,0.10659584,0.82883114,0.28846067,0.46740437
0.98930687,-0.53843856,-14.970719,0.6485435,0.5298832,-0.5081057,0.20110638
0.7588286,-1.2443218,-15.249415,0.10666275,0.8288624,0.28828937,0.46743935
0.98940074,-0.5384184,-14.971348,0.64850664,0.5300561,-0.50789094,0.20131204
0.7589039,-1.2450689,-15.250132,0.106633745,0.82894033,0.2881827,0.46737334
0.9894829,-0.53961784,-14.971898,0.64848757,0.5302112,-0.50766116,0.20154428
0.7576671,-1.2456777,-15.250714,0.10666263,0.82905483,0.2880649,0.46723637
0.98839486,-0.53830063,-14.972355,0.64848447,0.5303585,-0.507577,0.20137872
0.7566509,-1.2449447,-15.251193,0.106707565,0.82919383,0.2878707,0.46709913
0.9874855,-0.5371998,-14.972737,0.648452,0.53052723,-0.5074824,0.20127736
0.75699073,-1.2443196,-15.251601,0.10666656,0.8292081,0.28786296,0.46708798
0.9867204,-0.5383604,-14.973059,0.64853,0.530706,-0.50713634,0.20142674
0.75853807,-1.2449986,-15.251968,0.10669958,0.8288666,0.28828263,0.46742767
0.9870637,-0.5383521,-14.973331,0.64836615,0.5309801,-0.5068883,0.20185605
0.75745916,-1.2455604,-15.252273,0.10657872,0.8286387,0.28864366,0.46763644
0.98547274,-0.5392867,-14.973563,0.6484228,0.53115547,-0.50648016,0.20223674
0.7588998,-1.24486,-15.252544,0.10656119,0.82837063,0.28881842,0.46800718
0.98589873,-0.53829825,-14.973762,0.6483543,0.5312543,-0.5063881,0.20242709
0.7601919,-1.2454652,-15.252789,0.10660854,0.8281649,0.28899616,0.46825075
0.9854159,-0.5374467,-14.973933,0.64831287,0.5313535,-0.5062684,0.2025991
0.7600879,-1.2459778,-15.2529955,0.10653942,0.8279838,0.2891705,0.4684791
0.98499763,-0.53832406,-14.974081,0.64838785,0.5312503,-0.5061228,0.2029927
0.7625566,-1.246458,-15.253189,0.106662415,0.82772017,0.28926906,0.46885598
0.98540074,-0.5375534,-14.97421,0.6483564,0.53107965,-0.5062769,0.20315535
0.7621386,-1.2456095,-15.253353,0.10659799,0.8276468,0.28929067,0.46898684
0.9857532,-0.5368798,-14.974322,0.6482487,0.53091407,-0.50648993,0.20340079
0.76307,-1.2448399,-15.253502,0.1065811,0.82745564,0.28938663,0.46926865
0.98607093,-0.53769416,-14.974424,0.64824975,0.53073287,-0.50650984,0.2038202
0.76528734,-1.2455171,-15.253637,0.10666477,0.827251,0.28950775,0.46953562
0.9863763,-0.53847677,-14.974522,0.64821327,0.53054786,-0.50659406,0.20420815
0.7658263,-1.2447047,-15.253756,0.10662785,0.8271361,0.28946465,0.469773
0.9866653,-0.53846127,-14.974615,0.6481058,0.53032976,-0.50692767,0.20428795
0.76628256,-1.2454118,-15.253857,0.10659159,0.82702893,0.28951687,0.4699377
0.9869405,-0.5392282,-14.974703,0.6480861,0.5301544,-0.50704265,0.20452045
0.76667017,-1.2460126,-15.2539425,0.10655001,0.82688725,0.28962865,0.4701275
0.98720384,-0.54077643,-14.974787,0.648079,0.52998817,-0.50706613,0.20491503
0.7670069,-1.2451272,-15.254016,0.10656835,0.8267369,0.28961053,0.4703988
0.98745257,-0.54139847,-14.974867,0.64803857,0.52982455,-0.5072725,0.2049555
0.76729804,-1.2443616,-15.254081,0.10658261,0.82661223,0.2895355,0.4706609
0.98687,-0.5403411,-14.9749365,0.64789635,0.52974015,-0.5075799,0.20486204
