ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--21-06-47
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--21-06-47 ; 1C0F-1C0C , 1C0F-1C0C-1C00-1C04 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved bottom left. 2 disturbances in background, very close together

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.86052793,-1.2926254,-15.238707,0.1593476,0.8053217,0.27266163,0.50171804
1.0721147,-0.5145914,-14.954134,0.61002475,0.53468543,-0.5329974,0.24061395
0.86144334,-1.2917027,-15.239936,0.15894227,0.80476475,0.2726687,0.5027354
1.0724022,-0.5146827,-14.954183,0.60993767,0.53440964,-0.5332008,0.24099645
0.86423576,-1.2889043,-15.240969,0.15851125,0.80421853,0.27263355,0.50376356
1.0726776,-0.5145779,-14.954228,0.60980487,0.5342183,-0.53340954,0.24129488
0.8665239,-1.286611,-15.241815,0.15815428,0.8037178,0.27262434,0.5046791
1.0727552,-0.5144752,-14.954273,0.6097034,0.53406185,-0.5335939,0.24148987
0.86833805,-1.2869247,-15.242485,0.15783028,0.80328685,0.27268538,0.50543314
1.0728313,-0.5145668,-14.954317,0.6096245,0.533958,-0.5337077,0.24166706
0.8720012,-1.287177,-15.243025,0.157748,0.8028306,0.2726608,0.5061965
1.0730996,-0.5146571,-14.954361,0.6094876,0.533859,-0.5338607,0.2418932
0.8726265,-1.2851492,-15.2434435,0.157478,0.8026489,0.2725726,0.50661594
1.0734107,-0.51476175,-14.9544115,0.60938436,0.5338301,-0.5339058,0.2421171
0.8731045,-1.2858111,-15.243764,0.15753122,0.8024389,0.2726503,0.50689006
