ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--21-07-25
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--21-07-25 ; 3003-3007 , 3003-3007-300F-300C ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; couldnt differentiate. almost on top of each other

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.92130697,-1.2756158,-15.252908,0.13699678,0.79828286,0.29547736,0.50662565
1.0736319,-0.52798,-14.956884,0.6452024,0.5000618,-0.54355633,0.19544452
0.9201751,-1.275794,-15.252394,0.13714647,0.7984546,0.29537678,0.50637305
1.0737501,-0.52800775,-14.956868,0.6452028,0.49976677,-0.5438536,0.19537099
0.91975003,-1.2759526,-15.251936,0.13728523,0.7985948,0.29531273,0.5061518
1.073867,-0.5284351,-14.956852,0.6452498,0.4994174,-0.5440933,0.19544178
0.9193707,-1.2760941,-15.251528,0.13740744,0.7987354,0.29523814,0.5059402
1.0739831,-0.5288598,-14.956836,0.64526826,0.49911907,-0.5443268,0.19549301
0.919031,-1.2762208,-15.251163,0.13753991,0.7988727,0.2951499,0.5057389
1.0745186,-0.52885133,-14.956819,0.645168,0.4987639,-0.54476255,0.19551644
0.9192248,-1.2763346,-15.250834,0.13766216,0.7990043,0.29506755,0.50554574
1.0746119,-0.5292824,-14.956803,0.645176,0.49843633,-0.5450177,0.19561401
0.91892546,-1.2764372,-15.250065,0.137782,0.7991564,0.29498076,0.50532323
1.0751846,-0.5297282,-14.956787,0.64507425,0.49811754,-0.5453894,0.19572568
0.91865504,-1.2765297,-15.24937,0.137921,0.79932284,0.29488444,0.50507826
1.0757755,-0.53018814,-14.956771,0.6449842,0.4977911,-0.5457749,0.1957787
0.9184103,-1.2770411,-15.248741,0.13808717,0.79950714,0.29477143,0.50480694
1.0763316,-0.530621,-14.956241,0.6448442,0.49749795,-0.54614156,0.19596253
0.91859436,-1.2775053,-15.24817,0.13826829,0.79970515,0.29464388,0.50451815
1.0769076,-0.53106934,-14.956255,0.6447668,0.49713492,-0.54654723,0.19600706
0.9183758,-1.2775419,-15.24765,0.13844845,0.7999357,0.29447475,0.504202
1.0781611,-0.5315481,-14.956268,0.6446595,0.49686018,-0.5468916,0.19609591
0.9178099,-1.2775751,-15.247543,0.13853057,0.8002183,0.2943037,0.50383073
1.0780486,-0.5326946,-14.956283,0.6447745,0.49653193,-0.5470164,0.19620135
0.91729283,-1.2776055,-15.247444,0.13863444,0.8004806,0.29405105,0.5035329
1.0786562,-0.5331123,-14.956297,0.6448648,0.4963325,-0.5470465,0.1963253
0.91715026,-1.2776333,-15.247355,0.13874447,0.8006813,0.29380035,0.5033298
1.0784981,-0.5335017,-14.956309,0.64494085,0.49625802,-0.54702157,0.19633316
0.9166968,-1.2776593,-15.247271,0.1387982,0.8008975,0.29357472,0.50310266
1.0783507,-0.53386474,-14.956323,0.6449587,0.4963342,-0.5469294,0.19633906
0.9161696,-1.2773044,-15.247173,0.13876098,0.8010786,0.29341203,0.5029193
1.0774928,-0.5349198,-14.956334,0.64514977,0.4964106,-0.5466283,0.1963564
0.91564554,-1.2773504,-15.247475,0.13880438,0.8011727,0.29331186,0.502816
1.0774196,-0.53518325,-14.957099,0.64513737,0.49651802,-0.54652524,0.19641246
0.9155338,-1.276967,-15.247356,0.13875371,0.80125153,0.2932007,0.50276923
1.0781326,-0.5354355,-14.957047,0.6450855,0.49669695,-0.5463816,0.19653
0.915425,-1.2770332,-15.247241,0.13870469,0.80130607,0.29312146,0.50274193
