ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--21-11-34
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--21-11-34 ; 0D00-0D04 , 0D00-0D04-0D03-0D07 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; couldnt differentiate

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.7214215,-1.2852386,-15.215681,0.15255268,0.8311881,0.2641203,0.46485975
1.0148045,-0.51067156,-14.945448,0.6421047,0.5201682,-0.5326094,0.18290411
0.72166246,-1.2853124,-15.21569,0.15257087,0.8309618,0.2643446,0.4651307
1.0137001,-0.5085071,-14.94573,0.64207417,0.5209431,-0.53189605,0.18288139
0.7218853,-1.2853806,-15.2159395,0.15255465,0.8307484,0.26457557,0.46538594
1.009214,-0.5086846,-14.945945,0.64234406,0.5217136,-0.53082955,0.18283643
0.72209173,-1.2854439,-15.21617,0.15252262,0.8305293,0.2648312,0.4656421
1.0092248,-0.50708914,-14.947842,0.64233947,0.5226027,-0.5299473,0.18287292
0.7220649,-1.2855026,-15.216386,0.15249492,0.83031535,0.26507345,0.4658947
1.0059422,-0.50749207,-14.949319,0.642511,0.52349067,-0.52887744,0.18282709
0.72221375,-1.2854044,-15.21677,0.1522659,0.8298405,0.2656475,0.4664884
0.9983316,-0.50657666,-14.9499235,0.6430509,0.52644396,-0.52536786,0.18256754
0.7223799,-1.2854568,-15.216948,0.1521192,0.82956976,0.26597762,0.46682954
0.9942945,-0.50558656,-14.949474,0.6433807,0.5282432,-0.5232505,0.18228944
0.722735,-1.285508,-15.217121,0.15200499,0.8293263,0.26625052,0.46714363
0.9910221,-0.5061242,-14.949109,0.6436452,0.52968425,-0.52153337,0.18209477
0.72289073,-1.2855583,-15.217291,0.15190542,0.82910484,0.26651934,0.46741572
0.9870736,-0.5065638,-14.948812,0.6438691,0.53084606,-0.520154,0.18186504
