ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--21-12-03
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--21-12-03 ; 5B03-5B07 , 5B03-5B07-5B00-5B04 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; couldnt differentiate

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.7008147,-1.2978104,-15.208503,0.12479358,0.8314355,0.3001148,0.45063597
0.9404967,-0.50811803,-14.947526,0.656319,0.52975917,-0.51361746,0.15747286
0.7008646,-1.2966992,-15.208933,0.12461113,0.8313461,0.29997522,0.45094416
0.9406488,-0.5072734,-14.947458,0.6562951,0.5296699,-0.5137651,0.15739131
0.70091945,-1.2948358,-15.209404,0.12438785,0.83125573,0.29978514,0.45129874
0.94078636,-0.50749606,-14.947397,0.6563715,0.5294738,-0.5138619,0.15741663
0.70168227,-1.2936286,-15.209888,0.12416801,0.8311378,0.29961628,0.4516884
0.9409102,-0.508687,-14.947342,0.65641844,0.5292785,-0.5139448,0.15760662
0.70241874,-1.2931995,-15.210357,0.12404689,0.83097166,0.29936904,0.45219103
0.9410229,-0.50976974,-14.948296,0.65651816,0.52883226,-0.51412594,0.15809771
0.7039582,-1.2919683,-15.210826,0.12392548,0.83079064,0.299086,0.45274386
0.942195,-0.50973356,-14.949202,0.65654176,0.52836347,-0.5144607,0.1584778
0.70462596,-1.2907351,-15.2121725,0.12379374,0.8306411,0.29878247,0.45325452
0.942172,-0.510773,-14.950012,0.6565959,0.52793807,-0.51468426,0.1589449
0.7052814,-1.2895247,-15.213492,0.123702765,0.8305121,0.29841518,0.4537573
0.9432756,-0.5106173,-14.950768,0.6566261,0.5274885,-0.51501185,0.15925124
0.7059129,-1.2883582,-15.214764,0.12368039,0.8303993,0.29806015,0.45420304
0.9443088,-0.5116645,-14.951476,0.6568333,0.5268974,-0.5151338,0.15995784
0.7065,-1.2872739,-15.214899,0.123727605,0.83029443,0.2976807,0.45463046
0.9452428,-0.51137996,-14.952116,0.6568968,0.52635676,-0.51546276,0.16041629
0.7070219,-1.2873557,-15.215018,0.12383881,0.8301713,0.29733014,0.45505437
0.94609344,-0.5124067,-14.9527,0.657062,0.52588785,-0.5155398,0.16102841
0.707503,-1.2863493,-15.215129,0.12392755,0.8300711,0.29695672,0.45545673
0.94685817,-0.5133298,-14.953224,0.65722805,0.52544624,-0.5156532,0.16142936
0.70899963,-1.2865365,-15.215226,0.124115124,0.8298989,0.29660586,0.45594764
0.94753796,-0.51415044,-14.95369,0.6573463,0.5250163,-0.51580095,0.16187392
0.70925456,-1.2867017,-15.215312,0.12431195,0.829755,0.29629153,0.4563601
0.94813627,-0.5148727,-14.9541,0.6574731,0.52466774,-0.5158569,0.16231005
0.709488,-1.2857548,-15.21539,0.1244823,0.8296298,0.29595327,0.45676076
0.9501307,-0.5140446,-14.954462,0.65742767,0.5243248,-0.5162016,0.16250643
0.7096844,-1.2870444,-15.215456,0.12473747,0.8294447,0.29574594,0.45716134
0.948951,-0.51616323,-14.954753,0.65756744,0.52399397,-0.516273,0.162781
0.7118936,-1.2871484,-15.215513,0.12502421,0.82921684,0.29545298,0.4576854
0.95081884,-0.51660377,-14.955014,0.6574967,0.5236506,-0.51665634,0.16295548
0.7128897,-1.2861834,-15.215568,0.12537757,0.8290043,0.29508948,0.45820808
0.95411164,-0.5170072,-14.955255,0.6573343,0.5233103,-0.51713246,0.16319336
0.71271044,-1.2853087,-15.215617,0.12562877,0.8288306,0.29483408,0.45861775
0.9537043,-0.5188984,-14.955452,0.65742755,0.5229172,-0.5172999,0.1635467
0.71563673,-1.2847549,-15.216845,0.12654757,0.82827556,0.29362428,0.46014145
0.9560635,-0.5219677,-14.955772,0.65727895,0.52195126,-0.5181628,0.16449541
0.717472,-1.283973,-15.21674,0.12719853,0.8278796,0.29253232,0.4613685
0.9569685,-0.5214558,-14.955895,0.65710616,0.5216547,-0.5185637,0.16486275
0.7204462,-1.2832433,-15.217904,0.12782209,0.82745725,0.29136634,0.46268973
0.96122855,-0.51927525,-14.956,0.656679,0.5214449,-0.51920307,0.16521569
0.7231742,-1.282574,-15.218971,0.12841211,0.8269724,0.29035506,0.4640269
0.96302354,-0.519234,-14.956088,0.6565364,0.52133024,-0.51934475,0.16569796
0.7256361,-1.2819701,-15.219936,0.12895359,0.8264089,0.2894766,0.46542737
0.96269023,-0.51920104,-14.956159,0.6564654,0.5212784,-0.51939243,0.16599299
0.72932106,-1.2814264,-15.220803,0.12951647,0.8259497,0.2885096,0.46668473
0.96242195,-0.5191745,-14.956216,0.65634394,0.521375,-0.51938045,0.16620725
0.7326662,-1.2793587,-15.22159,0.12995861,0.8255362,0.2876605,0.4678165
0.96221334,-0.5174954,-14.956261,0.6562498,0.52137285,-0.51946145,0.16633248
0.7381143,-1.2776871,-15.222873,0.13091351,0.82479924,0.2861194,0.46979105
0.96495336,-0.51663405,-14.956328,0.65618193,0.52116364,-0.5196226,0.16675143
0.74197185,-1.2778189,-15.223371,0.13147618,0.82451874,0.28544322,0.4705371
0.96601844,-0.5170732,-14.956354,0.6561703,0.5210077,-0.51973224,0.16694294
0.74342877,-1.2761289,-15.22379,0.13191189,0.8243634,0.2848695,0.47103465
0.9651839,-0.5174174,-14.956375,0.65628314,0.52079314,-0.51980543,0.1669414
0.7465371,-1.274699,-15.224146,0.1322617,0.8242228,0.28440666,0.47146225
0.96618736,-0.51770866,-14.956393,0.6563599,0.5207022,-0.5197268,0.16716753
0.74717325,-1.2735298,-15.224437,0.13260949,0.82414305,0.28411433,0.47168007
0.96534336,-0.51793706,-14.956408,0.6564276,0.52058953,-0.51968586,0.16737974
0.74768984,-1.2725803,-15.224672,0.1328419,0.82418007,0.28378803,0.47174639
0.9662614,-0.5165144,-14.956418,0.65643936,0.52048284,-0.5197295,0.16752993
0.74809366,-1.2737259,-15.224856,0.1332344,0.8241241,0.28364736,0.4718181
0.9670426,-0.51694936,-14.956427,0.6565402,0.5202344,-0.5198253,0.16760936
0.75030667,-1.2746468,-15.225006,0.13349362,0.8240262,0.28360292,0.47194248
0.96609455,-0.51885486,-14.956434,0.6567006,0.52010685,-0.5196651,0.16787289
0.75020206,-1.2753497,-15.223326,0.13373277,0.82397544,0.28364444,0.47193855
0.96687603,-0.51888794,-14.95644,0.6566534,0.5201009,-0.51962745,0.16819257
0.7519235,-1.2759258,-15.223755,0.13397232,0.8239093,0.28358424,0.47202224
0.96598727,-0.51891416,-14.956445,0.6566901,0.52017534,-0.5195208,0.16814852
0.75152254,-1.2763838,-15.224097,0.13407058,0.8237958,0.28378487,0.47207168
0.9652754,-0.5203684,-14.9564495,0.6567738,0.52019924,-0.51928073,0.16848893
0.751201,-1.2767512,-15.224372,0.1341667,0.8237404,0.2838991,0.4720723
0.96468914,-0.5215659,-14.956453,0.6567989,0.52022475,-0.5191535,0.16870421
0.75095004,-1.2770379,-15.222928,0.13427624,0.82363516,0.28405207,0.47213286
0.9642123,-0.52122146,-14.956455,0.656733,0.5203189,-0.51914746,0.16868904
0.7507447,-1.2772725,-15.223386,0.13424963,0.82352567,0.28433236,0.4721628
0.9638057,-0.5235339,-14.956457,0.6568825,0.5204018,-0.5187656,0.1690258
0.750576,-1.2774651,-15.2237625,0.13408661,0.82347864,0.28450808,0.4721853
0.96476394,-0.5229224,-14.95646,0.6568179,0.5204716,-0.51872075,0.16919935
0.7503367,-1.2805108,-15.224296,0.13391311,0.82331,0.28494257,0.47226664
0.96518147,-0.5232618,-14.956462,0.6568062,0.5205335,-0.5184922,0.16975392
0.7502511,-1.2815996,-15.224487,0.13383047,0.82321334,0.2850227,0.47241014
0.9646738,-0.5227237,-14.956464,0.65674603,0.52058166,-0.51845497,0.16995278
0.74885845,-1.281161,-15.224642,0.13360809,0.8231745,0.2851257,0.47247866
0.9630853,-0.52344584,-14.956465,0.6569009,0.5204493,-0.5183202,0.17017022
0.74898034,-1.2807838,-15.224776,0.13350445,0.82309294,0.28509346,0.47266945
0.9639787,-0.52293897,-14.956466,0.6568446,0.52033114,-0.51846397,0.17031093
0.74908155,-1.2817407,-15.224886,0.13336155,0.8229613,0.2851318,0.4729158
0.96478677,-0.52361506,-14.956467,0.65677345,0.5202755,-0.51851106,0.17061183
0.7504956,-1.2812828,-15.224986,0.13315195,0.8228388,0.2850423,0.4732419
0.96553427,-0.52424043,-14.956469,0.6566883,0.5201388,-0.5187125,0.1707441
0.7517578,-1.280874,-15.225075,0.13295342,0.82268727,0.2849373,0.47362414
0.9650183,-0.52476895,-14.956469,0.6566969,0.5200693,-0.51872826,0.17087463
0.7529032,-1.2776059,-15.225156,0.13258605,0.82270825,0.284628,0.47387668
0.9645866,-0.52303046,-14.956469,0.65663177,0.5200647,-0.51887167,0.17070363
0.75243974,-1.2777244,-15.225223,0.13234675,0.822686,0.2845189,0.47404754
0.96526754,-0.5246949,-14.956469,0.6566605,0.51996607,-0.5188445,0.17097612
0.7534717,-1.2778271,-15.225282,0.1320278,0.82268286,0.2844354,0.47419205
0.96586996,-0.52408355,-14.956469,0.65648985,0.5200272,-0.51900446,0.17095928
0.75431955,-1.2792959,-15.225329,0.13190566,0.82265496,0.28437245,0.47431216
0.96539044,-0.522576,-14.956469,0.6564394,0.52013546,-0.51904225,0.1707091
0.7536718,-1.2778097,-15.225369,0.13162725,0.82276046,0.28418857,0.4743167
0.96498173,-0.52317184,-14.956469,0.65655243,0.5202565,-0.51876736,0.170741
0.75313437,-1.2778924,-15.225403,0.13136332,0.8229199,0.28410783,0.47416168
0.9637382,-0.52368253,-14.956469,0.65669996,0.52042377,-0.5184846,0.17052273
0.7514435,-1.2767099,-15.22543,0.13111924,0.8231453,0.28402025,0.4738904
0.9635153,-0.52327394,-14.956469,0.6567288,0.52065766,-0.5182893,0.17029145
0.75122714,-1.2757022,-15.225452,0.13097966,0.8232818,0.28401223,0.47369662
0.96332216,-0.52372634,-14.956469,0.65682393,0.5208765,-0.517968,0.17023261
0.7522728,-1.2760508,-15.225472,0.1309562,0.82340467,0.2840507,0.47346652
0.9631541,-0.52258825,-14.956469,0.65681577,0.52110046,-0.5178319,0.16999249
0.750397,-1.2777961,-15.225506,0.13125177,0.823884,0.28448364,0.47228944
0.96287817,-0.5207035,-14.956469,0.6565929,0.5219257,-0.51754385,0.16919765
0.7480689,-1.2778685,-15.225518,0.13127622,0.8241587,0.28477424,0.47162774
0.9627644,-0.5205909,-14.956469,0.6564613,0.5223231,-0.51741743,0.16886845
0.74611634,-1.2789986,-15.224459,0.1313838,0.82424855,0.28522456,0.4711685
0.9620399,-0.52111506,-14.956469,0.6564035,0.52265865,-0.51723737,0.16860622
0.74446774,-1.2799529,-15.223565,0.13148388,0.82431227,0.28555506,0.4708287
0.9619889,-0.5203954,-14.956469,0.656285,0.5229412,-0.5171984,0.16831061
0.74499786,-1.2807636,-15.222806,0.131606,0.8242257,0.28585085,0.47076666
0.96194345,-0.5197539,-14.956469,0.65615505,0.52320004,-0.5171836,0.168058
0.74453384,-1.2814565,-15.223073,0.13175774,0.8241458,0.28614628,0.47068465
0.9613679,-0.52024984,-14.956469,0.6561138,0.52335256,-0.51711226,0.16796373
0.744135,-1.2811806,-15.223304,0.13176133,0.82411647,0.2863092,0.47063598
0.96135974,-0.52018666,-14.956469,0.65605605,0.52346253,-0.5170983,0.1678895
0.7446181,-1.2809422,-15.222674,0.13182868,0.8240571,0.2865103,0.4705986
0.9613523,-0.5196471,-14.956469,0.65597856,0.5235247,-0.5171913,0.16771191
0.74542534,-1.282027,-15.221652,0.13208346,0.82393676,0.28688174,0.4705116
0.96133965,-0.51959336,-14.956469,0.6558769,0.5235267,-0.517373,0.16754265
0.7457443,-1.2824697,-15.221235,0.13216394,0.82387364,0.28704172,0.4705018
0.9613342,-0.519984,-14.956054,0.6557548,0.52347463,-0.5175711,0.1675716
0.74535084,-1.2828594,-15.220867,0.13227117,0.8238459,0.28718928,0.47043025
0.9613292,-0.51994604,-14.956072,0.6556511,0.5234188,-0.51777,0.16753747
0.7450032,-1.2832037,-15.220544,0.13234647,0.8238297,0.28727382,0.47038588
0.9613247,-0.51916444,-14.956087,0.6554741,0.52342594,-0.5180153,0.16744907
0.74530345,-1.2835089,-15.220256,0.13244036,0.82380027,0.28738737,0.4703417
0.96167535,-0.5195152,-14.955747,0.655364,0.5233709,-0.51820046,0.1674792
0.74499255,-1.2832025,-15.22,0.1324557,0.8238118,0.28739977,0.47030956
0.96199626,-0.5198361,-14.955435,0.6552511,0.5233083,-0.51838905,0.1675332
0.74471503,-1.282929,-15.219771,0.13249855,0.8238327,0.2874051,0.47025767
0.9622904,-0.51981014,-14.955468,0.6551458,0.5232491,-0.5185944,0.16749391
0.7444664,-1.2832056,-15.219567,0.13257155,0.823831,0.28744066,0.4702182
0.96225625,-0.5197862,-14.955501,0.65504974,0.52316767,-0.5188137,0.1674448
0.744243,-1.2834541,-15.219383,0.13259387,0.8238397,0.28746927,0.47017926
0.9622249,-0.52005327,-14.955241,0.6549754,0.52305967,-0.5190068,0.16747491
0.7440418,-1.283678,-15.219218,0.13263403,0.8238419,0.28753096,0.47012627
0.962196,-0.52029926,-14.955002,0.65488774,0.5229607,-0.5192287,0.16743895
0.7434128,-1.2838802,-15.219068,0.13270447,0.82386863,0.28755468,0.4700451
0.9621693,-0.5202655,-14.954781,0.6548401,0.5228278,-0.5194578,0.16732986
0.7436927,-1.2840635,-15.218931,0.13278723,0.8238703,0.28757524,0.4700062
0.9621447,-0.5199865,-14.954824,0.6547455,0.522672,-0.51978594,0.16716759
0.74394685,-1.2842298,-15.218808,0.13286465,0.82386714,0.2875939,0.46997842
0.9623618,-0.5199632,-14.954625,0.6547026,0.522467,-0.5200723,0.16708544
0.7437948,-1.2839978,-15.218697,0.1329183,0.82388806,0.28760839,0.46991765
0.96233195,-0.5201896,-14.954423,0.65468043,0.52229685,-0.52027076,0.16708632
0.74365604,-1.2845145,-15.218595,0.13307692,0.8239361,0.28765723,0.46975863
0.9623009,-0.520425,-14.954213,0.6546363,0.5223275,-0.52031153,0.1670365
0.74352926,-1.284641,-15.218501,0.13321857,0.8239947,0.2876852,0.46959868
