ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--21-14-09
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--21-14-09 ; 1C00-1C04 , 1C00-1C04-1C03-1C07 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved left. right next to each other slightly brighter than background

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.7082605,-1.3034465,-15.201964,0.087478034,0.8204798,0.33793634,0.45272458
0.95448035,-0.512283,-14.935058,0.6704686,0.49634442,-0.53383297,0.13833469
0.7084222,-1.303649,-15.201689,0.087477624,0.82049793,0.3379352,0.45269266
0.95568246,-0.5130418,-14.93516,0.67057705,0.49552375,-0.53430736,0.13891898
0.70905364,-1.3038311,-15.20144,0.08747097,0.8205057,0.3379066,0.4527012
0.95700145,-0.5133622,-14.934758,0.67064166,0.4947253,-0.534849,0.1393679
0.70916146,-1.3035336,-15.201216,0.0874209,0.8205158,0.33785284,0.45273265
0.95843303,-0.51370996,-14.934911,0.6706744,0.49397415,-0.53540254,0.13974862
0.7092589,-1.3032644,-15.201013,0.087365255,0.8205195,0.33779752,0.45277807
0.9599481,-0.514078,-14.935072,0.67073137,0.4932899,-0.535901,0.13998084
0.7097641,-1.3030205,-15.200829,0.087315165,0.82049555,0.33774132,0.45287314
0.96151465,-0.51445854,-14.935238,0.6707604,0.49268466,-0.53638625,0.14011468
0.7098288,-1.3027934,-15.200657,0.087233834,0.8204691,0.337681,0.4529817
0.9630998,-0.5148436,-14.935407,0.67080873,0.49214017,-0.5368034,0.1401995
0.71081835,-1.3014746,-15.200764,0.087013654,0.8203453,0.33758557,0.45331928
0.96524966,-0.5155849,-14.935731,0.6708016,0.49137476,-0.5375397,0.14009756
0.7113667,-1.3002216,-15.201069,0.08684366,0.8202438,0.33757114,0.45354617
0.9657889,-0.5159206,-14.935878,0.6708513,0.49109253,-0.53778297,0.1399154
0.7119192,-1.2995155,-15.201376,0.08669311,0.8201302,0.3375773,0.45377567
0.9662896,-0.51623213,-14.936013,0.6708912,0.49086455,-0.53797144,0.13979906
0.71247345,-1.298807,-15.201685,0.086545914,0.8200067,0.33759263,0.4540155
0.96675164,-0.5165197,-14.936139,0.67092943,0.49064794,-0.5381492,0.13969176
0.71298665,-1.298736,-15.201971,0.086422935,0.81987023,0.3376329,0.4542555
0.9682262,-0.5167929,-14.936259,0.6709306,0.49036267,-0.5384125,0.1396732
0.7134643,-1.2986697,-15.202237,0.08629578,0.8197079,0.33769366,0.45452747
0.9696075,-0.5170488,-14.937458,0.6708912,0.4899091,-0.53886884,0.1396944
0.7133328,-1.298607,-15.20249,0.08616154,0.81955224,0.3377516,0.45479038
0.9708866,-0.5172857,-14.938569,0.67086506,0.48946717,-0.5393192,0.1396312
0.71379,-1.2985485,-15.202725,0.08605059,0.81937,0.3378225,0.45508707
0.9720583,-0.5175028,-14.939587,0.67085683,0.48889187,-0.5398446,0.13965623
0.7142522,-1.2978654,-15.202964,0.085910566,0.8192012,0.33787942,0.45537508
0.9731211,-0.51769966,-14.940509,0.67082995,0.4882549,-0.54044694,0.13968332
0.71536946,-1.2971897,-15.203198,0.085773125,0.81898576,0.3379152,0.4557616
0.9740765,-0.5178767,-14.941339,0.67087597,0.48760977,-0.54097366,0.13967757
0.7164723,-1.2965226,-15.203431,0.08561032,0.81876355,0.3379589,0.45615888
0.97625905,-0.5180377,-14.94078,0.6708003,0.48693675,-0.54165965,0.13972992
0.7175555,-1.2958674,-15.203658,0.08544127,0.81851804,0.33800843,0.4565943
0.97967964,-0.51818633,-14.940264,0.670642,0.48625326,-0.5424301,0.13988115
0.7211885,-1.2946056,-15.204099,0.0849224,0.817843,0.33812687,0.45781133
0.9841554,-0.5184338,-14.9394045,0.6703722,0.48466757,-0.5440206,0.14049962
0.72203666,-1.2940077,-15.204307,0.084594496,0.8175322,0.3381311,0.4584237
0.98671705,-0.51853645,-14.939049,0.6703346,0.48374757,-0.54478323,0.14089411
0.72377294,-1.2934337,-15.204506,0.084274866,0.81720316,0.33813468,0.45906612
0.9872719,-0.51862276,-14.93875,0.6703074,0.48298007,-0.5454506,0.14107399
0.7254254,-1.2928876,-15.204696,0.08399544,0.8169112,0.33804998,0.45969903
0.9877375,-0.51869524,-14.9384985,0.6703484,0.48235315,-0.54590267,0.1412758
0.7280348,-1.2923658,-15.204878,0.08378827,0.816607,0.33799118,0.46032017
0.9915694,-0.51875925,-14.938277,0.67025495,0.48177835,-0.54649544,0.14138879
0.72831804,-1.2907772,-15.20505,0.08350254,0.81646407,0.3378409,0.4607357
0.9948721,-0.5188144,-14.938086,0.67017126,0.48138118,-0.54690826,0.1415418
0.7297058,-1.2904539,-15.205207,0.0833341,0.816242,0.3377705,0.46121103
0.99766123,-0.518861,-14.937923,0.67015517,0.48099658,-0.5472402,0.14164263
0.7309657,-1.2901604,-15.20535,0.08320546,0.8161097,0.33765787,0.46155065
0.99805045,-0.5188988,-14.937793,0.67023295,0.48071343,-0.5474032,0.14160584
0.73210186,-1.2898959,-15.20548,0.08309639,0.81595933,0.33764789,0.46184325
0.9983646,-0.5208035,-14.937687,0.67033064,0.48036456,-0.5475802,0.14164276
0.7319062,-1.2896643,-15.205592,0.08292348,0.815907,0.3375535,0.46203578
0.99861693,-0.52046335,-14.937601,0.6703377,0.48018438,-0.54777944,0.14145027
0.7317294,-1.2882277,-15.205694,0.08275164,0.8158784,0.33744657,0.46219522
0.998812,-0.5184054,-14.937535,0.6703352,0.48016885,-0.5478562,0.14121677
0.73286235,-1.2869046,-15.205788,0.08267028,0.8157589,0.3374193,0.4624407
0.9989689,-0.51852536,-14.939258,0.67039675,0.48003092,-0.5479464,0.14104357
0.73388815,-1.2857068,-15.205873,0.082602836,0.81567687,0.3373395,0.46265554
0.99909234,-0.5169055,-14.940615,0.6703954,0.48007897,-0.5479647,0.14081559
0.7334088,-1.2846684,-15.2073145,0.08248426,0.8156042,0.3373895,0.46276823
0.99756014,-0.5172697,-14.941672,0.67067707,0.47994468,-0.54780096,0.14056888
0.7344038,-1.283743,-15.208599,0.0823931,0.8155219,0.33743638,0.46289545
0.9963512,-0.517557,-14.942508,0.67091495,0.4799287,-0.54760945,0.14023396
0.733856,-1.2843472,-15.209643,0.08247637,0.815433,0.33748063,0.46300495
0.9968794,-0.51779604,-14.943203,0.67102,0.47997424,-0.5475142,0.13994683
0.73473346,-1.2848613,-15.210532,0.08248541,0.81538147,0.3374746,0.46309844
0.99732834,-0.51799923,-14.943792,0.6711079,0.48005986,-0.54741853,0.13960522
0.73548317,-1.2853006,-15.211291,0.08251037,0.81536496,0.33749965,0.46310478
0.9977085,-0.51817125,-14.944293,0.6711745,0.48021373,-0.54728407,0.13928294
0.7347919,-1.284341,-15.2119465,0.082443096,0.815392,0.33744395,0.4631097
0.9965228,-0.51682,-14.944691,0.67128026,0.4804502,-0.5470046,0.13905546
0.7348513,-1.2839873,-15.210563,0.082518384,0.8155239,0.3372508,0.4630048
0.99614227,-0.51741505,-14.942709,0.6714534,0.48166537,-0.5458913,0.13838932
0.7342865,-1.2832601,-15.210018,0.082497105,0.8155933,0.3371256,0.46297753
0.99533355,-0.51763266,-14.941983,0.6715507,0.48211357,-0.5454147,0.13823554
0.7350231,-1.2838604,-15.20956,0.082639895,0.81563026,0.33699864,0.46297938
