ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--21-14-44
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--21-14-44 ; 300F-300C , 300F-300C-3003-3007 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved left. slightly darker than background, little space between them

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.78632915,-1.2889752,-15.210234,0.13292003,0.82703215,0.28272456,0.46735114
1.0213734,-0.52082235,-14.937232,0.6361337,0.5288872,-0.52458894,0.20104454
0.78738457,-1.288004,-15.210764,0.13269936,0.82670027,0.28274196,0.46798992
1.021038,-0.5205841,-14.937234,0.6360896,0.52906996,-0.5244064,0.20117937
0.7894638,-1.2870086,-15.211308,0.13249286,0.82632715,0.28272638,0.4687162
1.0207565,-0.52038413,-14.937236,0.63608897,0.5291812,-0.5243073,0.20114674
0.7903872,-1.2860574,-15.211827,0.13225621,0.8259782,0.28272066,0.4694011
1.0205183,-0.5202149,-14.937238,0.6360949,0.5292335,-0.5242108,0.20124164
0.7923638,-1.2862858,-15.212312,0.13207401,0.82558477,0.28271884,0.47014508
1.0203154,-0.5200708,-14.937239,0.63609445,0.52922225,-0.5241967,0.20130958
0.7956698,-1.2839423,-15.212806,0.13181202,0.8252152,0.28261,0.47093216
1.0213996,-0.52120984,-14.93724,0.63610613,0.52919245,-0.5241513,0.20146891
0.79596215,-1.2831858,-15.2132435,0.13162632,0.82488894,0.2825131,0.4716134
1.0210795,-0.5209354,-14.937241,0.6360495,0.52926874,-0.5241363,0.2014867
0.7976121,-1.2824985,-15.21364,0.13143398,0.824592,0.28239664,0.47225562
1.0208099,-0.5207043,-14.9372425,0.63608986,0.5292684,-0.52406484,0.20154627
0.7990859,-1.2818846,-15.213994,0.1311871,0.8243509,0.28218764,0.47286963
1.0217813,-0.5204959,-14.937243,0.6360684,0.5292478,-0.5240936,0.20159295
0.798894,-1.2813637,-15.214295,0.13089424,0.8241917,0.28201568,0.4733308
1.02142,-0.52151567,-14.937244,0.6361822,0.52921915,-0.5239731,0.20162268
0.80027413,-1.2777737,-15.214572,0.13057563,0.82405496,0.2816992,0.4738449
1.01998,-0.5212239,-14.937244,0.6362775,0.5292166,-0.5238607,0.2016203
0.7998832,-1.2778751,-15.214798,0.13036707,0.823948,0.28151986,0.47419477
1.0198567,-0.51989704,-14.937244,0.6363058,0.52924484,-0.5238352,0.20152307
0.79955226,-1.2764289,-15.21499,0.13015203,0.8238968,0.28123766,0.47451007
1.0197527,-0.519807,-14.937244,0.6363983,0.5291345,-0.5238152,0.20157269
0.80086213,-1.2751588,-15.215158,0.12999767,0.8239449,0.28074345,0.4747615
1.0196646,-0.5197305,-14.937244,0.6364219,0.5289664,-0.5240526,0.2013221
0.8003556,-1.2741048,-15.215298,0.12988399,0.8240628,0.28038332,0.47480083
1.0205218,-0.51966494,-14.937244,0.63632834,0.5288083,-0.5243707,0.20120504
0.7999343,-1.2732283,-15.215414,0.12975077,0.8241259,0.28011405,0.47488675
1.020367,-0.51960725,-14.937244,0.6363014,0.5286607,-0.5246078,0.20105997
0.8011555,-1.2740742,-15.21551,0.12973614,0.8241333,0.27992323,0.47499052
1.0202339,-0.518694,-14.937244,0.6362366,0.5285447,-0.5248666,0.20089449
0.80216795,-1.2747756,-15.21559,0.12973031,0.82414013,0.27972075,0.47509927
1.0209806,-0.51872665,-14.937244,0.6362182,0.5283766,-0.5251181,0.2007376
0.8030448,-1.273778,-15.215658,0.12963602,0.82417095,0.2795331,0.4751822
1.0207967,-0.51875544,-14.937244,0.6362086,0.52822196,-0.52531105,0.20067024
0.8037949,-1.2729244,-15.215716,0.12956586,0.82419604,0.27938753,0.47524333
1.0214709,-0.51794004,-14.937244,0.6361251,0.528179,-0.5254903,0.2005789
0.80493706,-1.273255,-15.215806,0.12954292,0.8241141,0.27928287,0.47545323
1.0203322,-0.51811355,-14.937244,0.6362661,0.527982,-0.52558327,0.20040664
0.80536604,-1.2724851,-15.21584,0.12950209,0.82409436,0.27923325,0.47552773
1.0209618,-0.51818615,-14.937244,0.63619953,0.5279161,-0.525677,0.20054537
0.8057086,-1.2734743,-15.215867,0.12948766,0.8240829,0.27927873,0.47552478
1.0208063,-0.5182512,-14.937244,0.63618696,0.52783835,-0.5257457,0.20060994
0.80599886,-1.2726814,-15.215889,0.12950738,0.8240775,0.27918145,0.47558597
1.0206697,-0.5176247,-14.937244,0.636143,0.5278155,-0.525825,0.20060134
0.8062476,-1.2703182,-15.215909,0.12936993,0.8241177,0.27910432,0.4755989
1.0212108,-0.517059,-14.937244,0.63606465,0.5277929,-0.5259549,0.20056899
0.80819726,-1.2700438,-15.215925,0.12941341,0.824087,0.2790852,0.47565147
1.0217552,-0.5172081,-14.937244,0.6360629,0.52768916,-0.5260252,0.200663
0.8080569,-1.2698197,-15.2159395,0.129338,0.824079,0.27917874,0.47563103
1.0215499,-0.5173402,-14.937244,0.6360809,0.52762717,-0.5260731,0.2006434
0.80794215,-1.2696364,-15.21595,0.12934496,0.82401466,0.2792244,0.47571376
1.0213672,-0.51745784,-14.937244,0.63608605,0.52758336,-0.5261221,0.20061398
0.80621,-1.2694937,-15.215959,0.12925969,0.8240177,0.2792667,0.47570685
1.0212034,-0.5175632,-14.937244,0.63602465,0.5275503,-0.5262355,0.20059809
0.806411,-1.2693784,-15.215965,0.12923941,0.8239091,0.27934873,0.47585216
1.021056,-0.5176581,-14.937244,0.6360023,0.5275369,-0.52629614,0.20054525
0.8050514,-1.2692872,-15.215971,0.12915069,0.8238636,0.2794618,0.47588858
1.0215716,-0.5177549,-14.937244,0.63595474,0.5275024,-0.52636003,0.20061906
0.80396384,-1.2692142,-15.215976,0.12901986,0.82382,0.2795241,0.47596297
1.0220602,-0.5171686,-14.937244,0.63586193,0.5275532,-0.5264403,0.20056869
0.80447036,-1.2691536,-15.21598,0.12909546,0.82363546,0.27965736,0.47618353
1.0225261,-0.51660943,-14.937244,0.6358717,0.52756834,-0.52642554,0.20053704
0.8049071,-1.2691014,-15.215983,0.12904122,0.823488,0.27982503,0.47635478
1.0229884,-0.51679873,-14.937244,0.63589174,0.52759916,-0.526355,0.20057753
0.80528235,-1.2690566,-15.215985,0.12896672,0.8233375,0.2799421,0.47656617
1.0226867,-0.5169647,-14.937244,0.6359268,0.5276615,-0.5262383,0.20060878
0.80710125,-1.269017,-15.215988,0.12895577,0.8231844,0.280012,0.4767926
1.0224211,-0.51711076,-14.937244,0.635971,0.5277022,-0.5261467,0.20060149
0.8086829,-1.2689826,-15.217522,0.12887864,0.8231384,0.27997553,0.4769142
1.0221864,-0.5172398,-14.937244,0.6359984,0.52776915,-0.526051,0.20058958
0.810048,-1.268953,-15.218844,0.12893559,0.8231431,0.27985823,0.47695956
1.0233495,-0.51667035,-14.937244,0.63587826,0.5278236,-0.5261132,0.20066412
0.80961543,-1.2673466,-15.219958,0.12886424,0.8232725,0.27967626,0.47686225
1.0237486,-0.5168552,-14.937244,0.6358821,0.52786595,-0.5260618,0.20067577
0.8092657,-1.2675781,-15.220859,0.12894668,0.8233572,0.27946728,0.47681636
1.0233905,-0.5170172,-14.937244,0.6359688,0.5279037,-0.52594787,0.20059997
0.80753213,-1.266309,-15.221578,0.128918,0.82358134,0.2792506,0.47656384
1.0230753,-0.51648724,-14.937244,0.6359406,0.52797896,-0.5259248,0.20055136
0.8075148,-1.265217,-15.222196,0.12893939,0.8237167,0.2790408,0.47644708
1.0234371,-0.5166586,-14.937244,0.6359783,0.5279701,-0.5258741,0.20058821
0.8075008,-1.2657392,-15.221293,0.1290417,0.82383895,0.2788369,0.47632724
1.0231487,-0.51681054,-14.937244,0.63601506,0.52792495,-0.5258654,0.20061326
0.80615884,-1.2661631,-15.220561,0.12912202,0.82401186,0.2786825,0.4760967
1.0234848,-0.51634747,-14.937244,0.6359572,0.52790356,-0.5259616,0.20060086
0.8063246,-1.26651,-15.219962,0.12926325,0.8241066,0.27854106,0.47597733
1.0232103,-0.5165091,-14.937244,0.6359525,0.5278518,-0.5260128,0.2006179
0.8064613,-1.2667962,-15.219466,0.12941006,0.8241907,0.2784071,0.47587007
1.0235361,-0.516666,-14.937244,0.6358722,0.5278437,-0.52610606,0.20064904
0.8054341,-1.2670342,-15.219055,0.12944,0.82431674,0.27826184,0.4757285
1.0232638,-0.5168059,-14.937244,0.63587326,0.5278647,-0.5260992,0.2006084
0.80457413,-1.2672334,-15.218711,0.12949891,0.82443285,0.2781256,0.475591
1.023566,-0.5163807,-14.937244,0.6358284,0.52784723,-0.526217,0.20048764
0.8038492,-1.2663717,-15.218421,0.12953924,0.8245874,0.27797037,0.47540265
1.0233094,-0.5160002,-14.937244,0.63583046,0.52785003,-0.52624875,0.2003902
0.80323434,-1.2666188,-15.218175,0.12955302,0.8247107,0.2778698,0.4752438
1.0230788,-0.5161594,-14.937244,0.63588065,0.5277889,-0.5262859,0.20029452
0.8036389,-1.2668297,-15.217965,0.12963572,0.82479596,0.27775535,0.47514024
1.0233471,-0.5163027,-14.937244,0.6358884,0.5276715,-0.5264393,0.20017624
0.803986,-1.2670107,-15.217784,0.12975422,0.8248836,0.27767378,0.47500342
1.0236235,-0.5164504,-14.937244,0.6359003,0.5275955,-0.52650726,0.2001595
0.80344695,-1.2671669,-15.2176285,0.12984808,0.8248693,0.27762336,0.4750321
1.0239054,-0.516601,-14.937244,0.6358482,0.5273054,-0.5268727,0.20012797
0.80297947,-1.2673023,-15.218289,0.12991041,0.8248369,0.27757406,0.47510004
1.0241785,-0.5161754,-14.937244,0.63575673,0.5270471,-0.52724004,0.20013185
0.803329,-1.2674203,-15.218865,0.13000254,0.8247439,0.27757776,0.4752341
1.0244515,-0.5163574,-14.937244,0.63579714,0.5268253,-0.5273599,0.20027165
0.80363494,-1.2675235,-15.219371,0.13004832,0.8246521,0.277566,0.47538793
1.0247221,-0.5165378,-14.937244,0.6358538,0.5265488,-0.5275136,0.20041396
0.80322075,-1.2676144,-15.219814,0.13007393,0.8245821,0.27758566,0.47549075
1.0257814,-0.5167369,-14.937244,0.6358496,0.5263139,-0.5277297,0.20047525
0.8035042,-1.2683433,-15.220206,0.13013113,0.82447153,0.27761877,0.47564748
1.0260035,-0.51692647,-14.937244,0.6358288,0.5261423,-0.5279121,0.20051157
0.8037552,-1.2683727,-15.220553,0.13015088,0.82432353,0.27771318,0.47584337
1.0262121,-0.5179084,-14.937244,0.6358833,0.5260604,-0.52787125,0.2006613
0.80489767,-1.2684276,-15.221203,0.1302296,0.8238966,0.2779603,0.47641668
1.0265929,-0.5180994,-14.937244,0.6357869,0.52592677,-0.5280488,0.20084977
0.80588895,-1.2676728,-15.221563,0.1302292,0.8235913,0.27809373,0.47686657
1.0267538,-0.517368,-14.937244,0.6356921,0.5258652,-0.52821654,0.20087011
0.80686724,-1.2677717,-15.221919,0.13020638,0.8232963,0.27823249,0.4773011
1.0269043,-0.51751363,-14.937244,0.6356689,0.52573895,-0.5282905,0.20107952
0.8069132,-1.2686594,-15.222227,0.13025145,0.82300085,0.27839798,0.47770163
1.0270447,-0.51764935,-14.937244,0.6357091,0.52558297,-0.52834076,0.20122758
0.8077935,-1.2686716,-15.222522,0.1302719,0.82270765,0.27851582,0.4781322
1.028145,-0.5177891,-14.937244,0.63563544,0.52533185,-0.5286288,0.20135957
0.8086895,-1.2677519,-15.222821,0.13023312,0.822434,0.2786095,0.47855863
1.0272703,-0.51881665,-14.937244,0.6357768,0.52510256,-0.5286426,0.20147507
0.8095418,-1.2678591,-15.223106,0.13018936,0.82219535,0.27872857,0.47891128
1.0282929,-0.5188392,-14.937244,0.6356833,0.52484673,-0.52896863,0.2015809
0.8103436,-1.2679601,-15.223375,0.13026775,0.82196844,0.27883983,0.47921458
1.0283122,-0.51885957,-14.937244,0.6356855,0.5247111,-0.5291188,0.20153336
0.8110899,-1.2680539,-15.223625,0.13035128,0.8217505,0.278923,0.47951713
1.0283298,-0.5197905,-14.937244,0.635743,0.5245369,-0.5291502,0.20172279
0.81177765,-1.2681404,-15.223855,0.13033935,0.8215802,0.27897507,0.4797819
1.0283457,-0.51972103,-14.937244,0.63571405,0.52442443,-0.5292889,0.20174244
0.81364864,-1.2682236,-15.224076,0.13034701,0.82138044,0.27900547,0.48010403
1.0283599,-0.51965845,-14.937244,0.6357666,0.5242835,-0.52935046,0.20178169
0.8140832,-1.2682978,-15.224274,0.13037823,0.8212688,0.27901265,0.48028237
1.029367,-0.5195961,-14.937244,0.6357872,0.52409345,-0.52948695,0.20185219
0.8144688,-1.2683637,-15.224448,0.13040343,0.8211582,0.27902436,0.48045787
1.0303453,-0.51953554,-14.937244,0.63570285,0.5239556,-0.52971756,0.20187095
0.816097,-1.2697077,-15.224605,0.13051301,0.8209935,0.27909148,0.48067042
1.0312755,-0.51947796,-14.937244,0.6356735,0.5238618,-0.5298406,0.20188391
0.8163326,-1.2681764,-15.224859,0.13038327,0.8208148,0.27910686,0.48100185
1.0306933,-0.5193893,-14.937244,0.6358815,0.5234328,-0.53018546,0.20143533
0.81518483,-1.2682568,-15.2249565,0.13043483,0.82080376,0.27908614,0.4810187
1.0315511,-0.5193506,-14.937244,0.6358947,0.52309626,-0.53047585,0.2015036
0.8154106,-1.2683233,-15.225037,0.13042937,0.82078093,0.2790431,0.48108408
1.0312155,-0.5193181,-14.937244,0.63614875,0.52269614,-0.53061473,0.20137437
0.8156098,-1.2683821,-15.225107,0.13047785,0.8207837,0.27895704,0.48111612
1.0320163,-0.5192875,-14.937244,0.63627994,0.5223183,-0.5308817,0.20123628
0.8170557,-1.2684369,-15.225172,0.13053508,0.8207753,0.2788815,0.48115876
1.0327733,-0.52045274,-14.937244,0.63645315,0.5220204,-0.53094834,0.20128548
0.81838226,-1.2684873,-15.225233,0.13065666,0.8208484,0.2786503,0.4811348
1.0334114,-0.51913637,-14.938395,0.63649064,0.5218687,-0.5311515,0.20102449
0.81819737,-1.2685302,-15.226601,0.13069268,0.82105625,0.27842194,0.48090255
1.0328532,-0.51912713,-14.939357,0.6366132,0.5217141,-0.5312429,0.20079626
0.8167965,-1.2685655,-15.226473,0.13082519,0.82123446,0.27822623,0.48067552
1.0334473,-0.51911896,-14.940205,0.6366451,0.521521,-0.5313922,0.20080192
0.81563854,-1.2685945,-15.226366,0.13092689,0.8214035,0.2780201,0.4804782
1.0339987,-0.5191114,-14.940992,0.63658607,0.5213118,-0.531709,0.20069353
0.8146744,-1.2686187,-15.226277,0.13097444,0.8215346,0.27784908,0.48034012
1.0345088,-0.52029693,-14.941721,0.6367102,0.5210427,-0.53179806,0.20076238
0.81493694,-1.2686391,-15.227275,0.13102667,0.8215919,0.27771428,0.4803058
1.0349766,-0.5213842,-14.942389,0.63672423,0.520842,-0.5319638,0.20079926
0.8141411,-1.2686563,-15.227099,0.13104422,0.8216736,0.27764443,0.4802017
1.0353912,-0.52107596,-14.94298,0.6365479,0.5207148,-0.5323341,0.20070685
0.8144317,-1.2686708,-15.22695,0.13114846,0.82169497,0.27759767,0.48016363
1.035764,-0.5221168,-14.943512,0.6365342,0.5204748,-0.53256804,0.20075259
0.8146801,-1.2686833,-15.226822,0.13118641,0.821747,0.2775329,0.48010162
1.0360873,-0.5216948,-14.943974,0.63650787,0.52022123,-0.5328233,0.20081572
0.814021,-1.2678214,-15.226712,0.13115476,0.8217965,0.27747497,0.4800591
1.0363677,-0.5213288,-14.944373,0.63646996,0.5201239,-0.5329943,0.20073459
0.8142805,-1.267906,-15.226617,0.13117446,0.8217757,0.27747196,0.480091
1.0366107,-0.5210116,-14.944721,0.6365533,0.5199721,-0.5330522,0.20070986
0.8137184,-1.2679793,-15.226535,0.1311868,0.8217569,0.2775198,0.4800921
1.0355356,-0.5220261,-14.945004,0.6367252,0.5198473,-0.53293175,0.2008076
0.8132282,-1.2680433,-15.226463,0.13114345,0.82177377,0.27753922,0.48006392
1.0358597,-0.52165204,-14.945238,0.6368109,0.5197247,-0.5329241,0.20087332
0.81350935,-1.2680992,-15.226399,0.1311882,0.82178026,0.27751914,0.48005214
1.036131,-0.52249795,-14.944275,0.6367837,0.5198859,-0.5327514,0.20100076
0.8137567,-1.2681485,-15.226345,0.13116957,0.8217933,0.27749342,0.48004973
1.0363693,-0.5220834,-14.944586,0.6367459,0.5199551,-0.53271115,0.20104776
0.81397516,-1.268192,-15.226295,0.13113745,0.8217898,0.27750012,0.4800607
1.036579,-0.52171856,-14.94486,0.6366831,0.5199091,-0.53283656,0.20103325
0.81417423,-1.2682316,-15.226251,0.13117784,0.8217859,0.2775255,0.48004156
1.03804,-0.5213693,-14.945124,0.636689,0.51984084,-0.53283876,0.20118506
0.8143707,-1.2676098,-15.226208,0.13118929,0.82179236,0.27750033,0.48004198
1.0394028,-0.52104354,-14.945368,0.6366797,0.51969403,-0.5329427,0.20131859
0.8145556,-1.2676927,-15.226167,0.13121416,0.82177645,0.27756375,0.4800257
1.0392252,-0.522091,-14.945573,0.636857,0.5194498,-0.532909,0.20147783
0.8147369,-1.2670698,-15.226125,0.13117467,0.82176983,0.2776137,0.48001897
1.0390774,-0.52168846,-14.945744,0.6370845,0.51923764,-0.5328783,0.20138624
0.81569076,-1.2672086,-15.226084,0.13124368,0.8216879,0.27766636,0.48010996
1.0402929,-0.5213182,-14.945901,0.6370037,0.5190922,-0.53305256,0.20155546
0.81579757,-1.2673355,-15.226047,0.1312896,0.8215523,0.27779615,0.4802544
1.0399973,-0.5223132,-14.946032,0.6371038,0.518688,-0.5332929,0.2016439
0.81589556,-1.267452,-15.226012,0.13130218,0.82145053,0.27788335,0.48037457
1.0397545,-0.521894,-14.946138,0.63713974,0.51828104,-0.5336226,0.20170453
0.8167674,-1.2683413,-15.22598,0.13138932,0.82126844,0.27803823,0.48057228
1.0408351,-0.5215089,-14.946237,0.63708025,0.5179194,-0.53402877,0.20174617
0.8167889,-1.2675943,-15.225949,0.1313492,0.8211416,0.27809423,0.48076764
1.0418273,-0.52254015,-14.946327,0.63717014,0.5175242,-0.53427786,0.20181727
0.8168084,-1.2676916,-15.225923,0.13137323,0.82097197,0.278191,0.48099473
1.042721,-0.52346915,-14.946408,0.6371717,0.5171958,-0.5345848,0.20184119
0.81767535,-1.2677895,-15.225895,0.13141438,0.8207779,0.2782631,0.48127285
1.0420569,-0.5228333,-14.946474,0.6371092,0.51704603,-0.5349152,0.20154633
0.8176188,-1.267035,-15.22587,0.1312841,0.82072896,0.27822986,0.4814111
1.0428321,-0.52363163,-14.945211,0.6370042,0.5168391,-0.53517586,0.20171751
0.81846863,-1.2672013,-15.225846,0.13117592,0.820612,0.27824757,0.4816297
1.043473,-0.52303183,-14.944168,0.63681275,0.51674145,-0.535521,0.20165613
0.8192891,-1.267362,-15.225822,0.13108742,0.8204513,0.27827996,0.48190886
1.0440184,-0.52252144,-14.94328,0.6366424,0.51661986,-0.5358729,0.20157063
0.8200702,-1.2675148,-15.2258005,0.13106863,0.8203234,0.27830663,0.48211628
1.0444881,-0.52208173,-14.942515,0.6364429,0.51648563,-0.53619903,0.20167708
0.81976354,-1.2676446,-15.225781,0.13090275,0.8202147,0.27839363,0.48229587
1.044896,-0.5216999,-14.941851,0.6364,0.5164716,-0.53620857,0.20182316
0.8216537,-1.2677772,-15.225761,0.13079134,0.8199867,0.2784682,0.48267066
1.0466151,-0.52133435,-14.941215,0.63623613,0.5163142,-0.5364805,0.2020197
0.8222471,-1.2678989,-15.225744,0.13068056,0.81979907,0.27862465,0.48292908
1.0482129,-0.5209946,-14.940623,0.6362257,0.5161096,-0.536687,0.20202704
0.8227872,-1.2680098,-15.225727,0.13056238,0.81958956,0.27873352,0.48325375
1.0481422,-0.5221002,-14.940138,0.6363198,0.5159331,-0.5366825,0.2021934
0.8246212,-1.2681175,-15.225712,0.13044442,0.8193402,0.278857,0.48363686
1.0495496,-0.5216339,-14.939695,0.6362559,0.515805,-0.5368502,0.20227586
0.8263589,-1.266784,-15.225697,0.13025676,0.81905705,0.27910116,0.48402613
1.0508108,-0.5227734,-14.939299,0.6362959,0.5156758,-0.5369036,0.2023375
0.8279399,-1.2661502,-15.225673,0.12991142,0.8186694,0.27955282,0.48451388
1.052845,-0.52328044,-14.93866,0.63632846,0.5154783,-0.53698575,0.20252037
0.8292978,-1.2665832,-15.225663,0.12978345,0.8183808,0.27992147,0.48482287
1.0520012,-0.52416766,-14.938427,0.63652176,0.51546484,-0.5367259,0.20263623
0.828886,-1.2669272,-15.225655,0.12965515,0.8181976,0.28022233,0.48499256
1.0513316,-0.52487165,-14.939747,0.63663757,0.5154435,-0.53658676,0.2026953
0.8300801,-1.2672309,-15.225648,0.12958895,0.81795543,0.28051555,0.4852491
1.0507951,-0.52543586,-14.9408045,0.6367009,0.5155387,-0.5363585,0.20285836
0.8311231,-1.2658726,-15.227265,0.12946601,0.817766,0.28065813,0.48551872
1.050361,-0.52453476,-14.94166,0.63669837,0.51572603,-0.5361546,0.2029293
0.8304042,-1.2663425,-15.227,0.12942524,0.81770337,0.28085148,0.48552337
1.050007,-0.5237996,-14.942358,0.63671845,0.51583856,-0.5360551,0.20284274
0.83062637,-1.2670496,-15.229366,0.12937163,0.8175311,0.2809359,0.48577866
