ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--21-15-18
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--21-15-18 ; 2C0A-2C0D , 2C0A-2C0D-2C03-2C07 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved left. #44 persistence.

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.7125754,-1.2433441,-15.206364,0.10259785,0.8322866,0.279728,0.46746665
0.9723454,-0.5205281,-14.927472,0.6488272,0.50320154,-0.528269,0.21620235
0.7124967,-1.2431359,-15.206958,0.10269471,0.83227265,0.2796953,0.46748975
0.972278,-0.52046275,-14.927906,0.64884746,0.5032291,-0.52823114,0.21616998
0.7124265,-1.2435129,-15.206925,0.102832474,0.83227164,0.27969718,0.4674601
0.9717673,-0.5203978,-14.928338,0.64886904,0.50327843,-0.5281828,0.21610838
0.7123598,-1.2433031,-15.206893,0.10290788,0.8323015,0.27963728,0.46742618
0.9712529,-0.52033234,-14.928772,0.64891154,0.5032928,-0.5281278,0.21608187
0.7122952,-1.2431,-15.206862,0.10301702,0.832344,0.27958474,0.4673579
0.9712327,-0.5202719,-14.928718,0.64889705,0.5032842,-0.5281505,0.21608976
0.7122329,-1.2429044,-15.206834,0.10312844,0.8323884,0.27953833,0.4672819
0.9712106,-0.5207263,-14.92918,0.6488729,0.5032299,-0.5282021,0.21616264
0.7127472,-1.2433,-15.206808,0.1033174,0.83242494,0.27947035,0.46721578
0.97168505,-0.5206404,-14.9291,0.6488386,0.5031522,-0.5282944,0.2162208
0.71266556,-1.2436534,-15.206784,0.10344432,0.8324937,0.27938253,0.4671177
0.97211266,-0.52056295,-14.9290285,0.64878535,0.5030972,-0.52837354,0.21631528
0.71259236,-1.2434561,-15.206763,0.10357337,0.8325943,0.27923027,0.46700096
0.9724991,-0.520493,-14.928965,0.64873797,0.5029799,-0.52848345,0.21646181
0.7125235,-1.2432705,-15.206743,0.10360819,0.83269167,0.27905774,0.46692267
0.9728491,-0.52042955,-14.9289055,0.6486696,0.5029114,-0.52859604,0.2165507
0.71246165,-1.243589,-15.206725,0.1036814,0.83279896,0.27893192,0.4667903
0.9731727,-0.52078086,-14.928852,0.648667,0.50277567,-0.52867115,0.2166903
0.7118812,-1.2433938,-15.206708,0.10371088,0.83291394,0.27873763,0.46669462
0.9730665,-0.5211376,-14.928797,0.6487533,0.5026563,-0.5286552,0.21674794
0.7123432,-1.2432184,-15.206692,0.10375899,0.832975,0.27857238,0.46667358
0.97338325,-0.5210481,-14.928747,0.6487348,0.50251627,-0.5287828,0.2168165
0.71228874,-1.2430489,-15.2066765,0.10382316,0.83301276,0.2784374,0.46667245
0.9732667,-0.521395,-14.928697,0.6487727,0.5024142,-0.5287824,0.21694045
0.7127154,-1.2428962,-15.206662,0.10386985,0.83303404,0.27827072,0.46672344
0.9735769,-0.5212938,-14.928651,0.6486958,0.502365,-0.5288801,0.21704619
0.71257246,-1.2426007,-15.206634,0.10388054,0.8331833,0.2779627,0.46663827
0.97415924,-0.52153915,-14.928564,0.6485081,0.5021116,-0.5291793,0.21746364
0.7125033,-1.2424576,-15.206621,0.10391066,0.8332643,0.27781382,0.46657553
0.97446895,-0.5218908,-14.928518,0.64851946,0.50187886,-0.529292,0.21769316
0.7124359,-1.2423183,-15.206608,0.10396067,0.8333229,0.27772605,0.46651208
0.9738285,-0.5222182,-14.928476,0.64857954,0.5017549,-0.5293098,0.21775626
0.711791,-1.2421771,-15.206595,0.10399328,0.8334367,0.27759653,0.46637836
0.9741318,-0.52207303,-14.928437,0.64852947,0.50157785,-0.5295132,0.21781887
0.7117608,-1.2420416,-15.206582,0.104075655,0.8334725,0.2775472,0.46632546
0.9744083,-0.52194065,-14.928402,0.6484868,0.5014089,-0.5297205,0.21783051
0.71229327,-1.2419207,-15.206571,0.104201265,0.83349985,0.27744046,0.46631214
0.9746633,-0.52181864,-14.9283695,0.6484208,0.5011992,-0.52997,0.21790308
0.71223533,-1.2418069,-15.20656,0.10429722,0.8335895,0.27733478,0.46619326
0.9749324,-0.5221377,-14.928335,0.6483585,0.50084007,-0.53029567,0.21812148
0.71217954,-1.2416973,-15.20655,0.10437242,0.83364767,0.2772662,0.46611324
0.9751809,-0.5219986,-14.928304,0.6482526,0.50052786,-0.53067416,0.2182327
0.71212965,-1.2421427,-15.20654,0.10451879,0.83368146,0.27720383,0.4660571
0.9754418,-0.52232957,-14.928271,0.64820856,0.50015956,-0.5310056,0.21840124
0.7120847,-1.2420249,-15.206532,0.104515314,0.8337479,0.27708337,0.46601063
0.9757124,-0.5226729,-14.928237,0.64814764,0.4998531,-0.5312979,0.21857278
0.7120411,-1.2419106,-15.206524,0.10456016,0.8337961,0.276971,0.46598113
0.97598964,-0.52302456,-14.928202,0.648043,0.49965337,-0.5315456,0.21873757
0.71250826,-1.241808,-15.206516,0.10468301,0.83375835,0.27690583,0.46605974
0.9762703,-0.5233807,-14.928166,0.64791834,0.49943846,-0.53182185,0.21892592
0.7129288,-1.2417158,-15.206511,0.10478428,0.8337107,0.27683052,0.46616706
0.97655135,-0.5237372,-14.928131,0.647849,0.49919638,-0.53206307,0.21909708
0.71284795,-1.2416291,-15.206505,0.10482012,0.83369434,0.27674186,0.46624082
0.9775582,-0.52410495,-14.928095,0.64779294,0.49898377,-0.53227913,0.21922259
0.7132273,-1.2420032,-15.206499,0.10498255,0.83362496,0.2767003,0.46635312
0.9777838,-0.52446234,-14.928059,0.6477739,0.49875432,-0.5324989,0.21926722
0.7135707,-1.2419121,-15.206494,0.10505733,0.83355165,0.27663955,0.4665032
0.9788315,-0.5248215,-14.928022,0.64775646,0.49838805,-0.5327916,0.21944019
0.71347415,-1.2418294,-15.20649,0.105087645,0.8335395,0.27652517,0.46658593
0.97977734,-0.5243353,-14.927989,0.64770013,0.4981947,-0.5330732,0.21936207
0.71377414,-1.241754,-15.206486,0.10518688,0.8334651,0.27646297,0.46673325
0.98064256,-0.52389055,-14.92796,0.64758724,0.49813357,-0.5332599,0.21938011
0.7140825,-1.2412615,-15.206482,0.105111875,0.8335351,0.27590647,0.46695447
0.98150545,-0.5243287,-14.927931,0.64751834,0.4980329,-0.5333017,0.21971017
0.71486413,-1.2407427,-15.206477,0.105128415,0.83349794,0.27545598,0.46728274
0.9832668,-0.5238171,-14.927902,0.64736116,0.49801213,-0.53341985,0.21993364
0.7151916,-1.2401799,-15.206472,0.10513647,0.83353144,0.2750728,0.46744686
0.983006,-0.52337825,-14.927877,0.64740515,0.49802893,-0.5332768,0.22011316
0.7155397,-1.2395817,-15.206468,0.10512527,0.8335903,0.27470663,0.4675598
0.9836829,-0.5238865,-14.927855,0.6474389,0.49798644,-0.53318715,0.22032674
0.71590245,-1.2389582,-15.206462,0.10514646,0.83360535,0.27439284,0.46771255
0.9842942,-0.5234226,-14.927834,0.6473126,0.49797964,-0.5332976,0.22044581
0.7156034,-1.2390237,-15.206457,0.1052574,0.8336189,0.2742136,0.46776852
0.9848817,-0.52395797,-14.927814,0.6473793,0.49792594,-0.533194,0.22062187
0.7159803,-1.2384079,-15.207135,0.10525792,0.8336139,0.27396005,0.46792597
0.9865673,-0.52449507,-14.9277935,0.6473462,0.49785182,-0.53316414,0.2209583
0.71631885,-1.2385147,-15.207084,0.10532868,0.83360595,0.27389264,0.4679636
0.98590314,-0.5249471,-14.927775,0.64746964,0.49779895,-0.532989,0.22113813
0.7166251,-1.2386116,-15.207038,0.10540405,0.83361185,0.27383882,0.46796757
0.98534054,-0.52533,-14.927762,0.6475116,0.49781725,-0.53286994,0.22126117
0.7169038,-1.2386996,-15.206995,0.10551566,0.83361894,0.27377754,0.46796566
0.98584294,-0.5256861,-14.928774,0.64750797,0.49782097,-0.53279644,0.22144035
0.71651405,-1.2381194,-15.206953,0.10548749,0.833672,0.27372134,0.4679104
0.985295,-0.5259882,-14.928659,0.64748824,0.49791,-0.5327265,0.22146577
0.7161276,-1.237544,-15.206911,0.1054974,0.8336813,0.27370906,0.46789873
0.98480535,-0.52722716,-14.928556,0.6475557,0.49794632,-0.5325372,0.22164233
0.7157877,-1.2377144,-15.206875,0.10567073,0.8336587,0.27375743,0.46787164
0.9843849,-0.5273658,-14.928468,0.6475871,0.49809757,-0.53238016,0.22158778
0.71613014,-1.2378649,-15.206841,0.1057246,0.83365196,0.27379483,0.46784952
0.9849501,-0.5274956,-14.928385,0.64748734,0.49824518,-0.5323228,0.22168536
0.7158232,-1.2379981,-15.206812,0.1057604,0.8336825,0.2738361,0.46776277
0.9845223,-0.52669543,-14.928314,0.64740175,0.49840057,-0.5323092,0.22161862
0.7155501,-1.2381169,-15.206786,0.10589938,0.833666,0.27389392,0.46772686
0.98502094,-0.52687335,-14.92912,0.64730865,0.49853787,-0.5322506,0.2217226
0.71585727,-1.2382227,-15.206764,0.10602754,0.8336128,0.27392814,0.46777257
0.9864679,-0.5270506,-14.928974,0.6471884,0.4985848,-0.53229326,0.22186543
0.71617043,-1.2377349,-15.20674,0.106093265,0.83358043,0.27393058,0.46781397
0.9868041,-0.52629995,-14.928848,0.6470704,0.4986681,-0.5323465,0.22189483
0.7164495,-1.2384322,-15.206719,0.10630756,0.8335433,0.27394474,0.46782327
0.9871152,-0.5265268,-14.928732,0.64698416,0.49874488,-0.5323535,0.22195694
0.716699,-1.238518,-15.206701,0.1064778,0.83350646,0.2739793,0.4678299
0.9865071,-0.5267217,-14.928633,0.64702404,0.49875975,-0.5322954,0.2219467
0.71692276,-1.2385948,-15.206684,0.10659691,0.83350575,0.27397722,0.46780524
0.9868302,-0.5268991,-14.928542,0.6470606,0.49872017,-0.5323204,0.221869
0.71712404,-1.238664,-15.206669,0.106729805,0.83353555,0.27390978,0.46776143
0.98627627,-0.5270522,-14.928463,0.64706856,0.498762,-0.5323014,0.22179699
0.71731985,-1.2382342,-15.2066555,0.10677119,0.8335959,0.2738125,0.46770146
0.9865868,-0.52639407,-14.928395,0.64705163,0.49874753,-0.53235906,0.2217408
0.71750104,-1.2383215,-15.206642,0.1069211,0.8336283,0.27374664,0.46764794
0.9868576,-0.5258202,-14.928335,0.64702064,0.49873018,-0.53243387,0.2216905
0.7172036,-1.2384003,-15.206631,0.10696236,0.8337336,0.27344525,0.4676271
0.9863807,-0.5260317,-14.928284,0.6470253,0.4986468,-0.5325231,0.22165044
0.716912,-1.2380029,-15.206618,0.10687371,0.8338527,0.27314392,0.46761113
0.9866448,-0.5262214,-14.928237,0.6470466,0.49853793,-0.5325957,0.22165877
0.7171346,-1.2375768,-15.206606,0.106802434,0.8339151,0.27286896,0.4676766
0.98622024,-0.5263887,-14.928196,0.6470504,0.49843985,-0.5327252,0.2215568
0.7168257,-1.2377031,-15.206594,0.10680572,0.83396035,0.27268344,0.46770343
0.98648655,-0.5265472,-14.928157,0.64703786,0.49829826,-0.5328836,0.22153108
0.7170574,-1.2372861,-15.206582,0.10679522,0.8340072,0.27238646,0.4677952
0.986746,-0.52670157,-14.92812,0.6470048,0.49813506,-0.533073,0.22153899
0.7172992,-1.2368509,-15.206571,0.106828116,0.8340336,0.2721358,0.4678866
0.9869968,-0.52685076,-14.928083,0.64690346,0.49775827,-0.5335701,0.22148512
0.7175473,-1.2364043,-15.206557,0.106861316,0.8340562,0.27190375,0.46797374
0.9879871,-0.5262412,-14.928048,0.64671105,0.4974421,-0.5341365,0.22139211
0.7177668,-1.2366366,-15.206547,0.1069862,0.8340628,0.27184448,0.46796775
0.9890103,-0.5264538,-14.928012,0.64658546,0.4970209,-0.53466445,0.22143057
0.7173349,-1.2362173,-15.206536,0.10692495,0.8341501,0.27165553,0.46793592
0.98997295,-0.5257851,-14.927978,0.64640754,0.49668217,-0.5352093,0.2213938
0.7175934,-1.2357932,-15.206526,0.10694295,0.8342081,0.27142686,0.46796107
0.9908817,-0.52515376,-14.927946,0.6462596,0.49629557,-0.53575903,0.2213628
0.7178211,-1.2360797,-15.206516,0.10715858,0.83420444,0.27125162,0.46801987
0.9917789,-0.5255128,-14.927915,0.64616776,0.495912,-0.5361968,0.22143063
0.71802264,-1.2363331,-15.206509,0.10722409,0.83412814,0.2712312,0.4681527
0.9926452,-0.5258595,-14.927884,0.64595413,0.49546498,-0.53679806,0.22159813
0.71821904,-1.2359264,-15.2065,0.107289225,0.8341355,0.27107275,0.4682165
0.9947263,-0.52621084,-14.927854,0.6458567,0.49497315,-0.53732234,0.22171026
0.7184167,-1.2355169,-15.206492,0.10730109,0.8340821,0.27095342,0.46837783
0.9953694,-0.52653086,-14.927825,0.6458011,0.49459663,-0.53768665,0.22182934
0.7186128,-1.2351106,-15.206484,0.10730222,0.8339887,0.27095997,0.46854013
0.99736345,-0.5268373,-14.927798,0.64559317,0.49430957,-0.5381376,0.22198091
0.7188047,-1.2347128,-15.206475,0.10723703,0.833961,0.27089864,0.4686399
0.9992074,-0.52712053,-14.927773,0.6454346,0.49403682,-0.53850156,0.22216661
0.71899045,-1.2343282,-15.206468,0.10712497,0.8339126,0.27093887,0.46872815
1.000801,-0.5258437,-14.927752,0.6452485,0.4940301,-0.53867745,0.22229545
0.7200783,-1.2339531,-15.20646,0.10702107,0.83377665,0.27087328,0.46903157
0.99918395,-0.5262683,-14.927733,0.64545876,0.4943018,-0.5380581,0.22258104
0.7192852,-1.233628,-15.206453,0.10682873,0.8337997,0.2708703,0.46903622
0.99925214,-0.52661103,-14.927719,0.64544135,0.49453333,-0.5377733,0.22280535
0.7185853,-1.233341,-15.206448,0.10664232,0.83382857,0.27082804,0.4690518
0.998003,-0.5268901,-14.927708,0.64552706,0.49475583,-0.53736496,0.22304805
0.7179592,-1.2330843,-15.206443,0.10654929,0.83383167,0.27078867,0.46909013
0.99697745,-0.5258798,-14.927698,0.64554733,0.49508968,-0.53703445,0.2230448
0.7182215,-1.2328416,-15.206438,0.106445484,0.8338236,0.27077818,0.46913397
0.9973062,-0.5262212,-14.927691,0.6455489,0.49514198,-0.5368618,0.22333977
0.71846783,-1.2326133,-15.206433,0.10637608,0.8337965,0.27068594,0.46925122
0.9964617,-0.5265059,-14.927686,0.6455691,0.49531883,-0.5366302,0.22344555
0.7186805,-1.2332536,-15.2064295,0.10640459,0.8337879,0.2706965,0.46925393
0.99681544,-0.5267448,-14.92768,0.64553005,0.4954881,-0.5364274,0.22366999
0.7188652,-1.2330132,-15.206427,0.1063949,0.833799,0.2706076,0.46928763
0.99711436,-0.52694666,-14.927675,0.6455387,0.49560687,-0.53621924,0.22388077
0.7182653,-1.2328023,-15.207186,0.106348276,0.8338438,0.2704721,0.4692967
0.9964094,-0.5271183,-14.927671,0.6455516,0.49572667,-0.536057,0.22396696
0.7184818,-1.2326018,-15.20712,0.10633751,0.83390045,0.27020687,0.46935135
0.99671763,-0.5272652,-14.927668,0.6455053,0.49581882,-0.53596866,0.22410761
0.7186839,-1.2324146,-15.207859,0.10628035,0.8338922,0.27002993,0.46948084
0.99699736,-0.52739835,-14.927665,0.64545405,0.49595055,-0.5358904,0.22415103
0.71887356,-1.2322389,-15.208552,0.10629149,0.8338614,0.26989207,0.46961233
0.99637014,-0.52664524,-14.927662,0.6454493,0.49605775,-0.5358284,0.22407584
0.7190729,-1.2311134,-15.209281,0.106272474,0.83380467,0.2697858,0.4697783
0.99665236,-0.52599436,-14.92766,0.6453852,0.49613154,-0.53583753,0.22407511
0.7183498,-1.2319365,-15.209012,0.10631994,0.83378696,0.26980767,0.46978647
0.9961145,-0.5262121,-14.927657,0.64538735,0.49617764,-0.53579026,0.22407983
0.71772677,-1.2309474,-15.20878,0.10626583,0.83382744,0.26967013,0.4698059
0.9956451,-0.52640206,-14.927656,0.64535344,0.49624574,-0.5357609,0.2240969
0.7179939,-1.2308975,-15.208579,0.10630789,0.8337676,0.2696552,0.4699111
0.99523365,-0.5265686,-14.927655,0.645366,0.49628675,-0.53570586,0.22410159
0.7182264,-1.2316204,-15.208405,0.10636789,0.83374614,0.26968625,0.46991765
0.99487156,-0.52604383,-14.927653,0.64532065,0.49634072,-0.5357373,0.2240375
0.7184378,-1.2307632,-15.208246,0.10633133,0.833734,0.26959893,0.4699976
0.9945516,-0.52558005,-14.927652,0.64528,0.49639708,-0.5357561,0.22398476
0.7186228,-1.2314519,-15.208108,0.10637186,0.8336992,0.26964206,0.47002533
0.9942678,-0.5251687,-14.927651,0.64523166,0.4964837,-0.5357645,0.22391202
0.7194689,-1.2313738,-15.207986,0.10634254,0.8336195,0.26962826,0.47018126
0.9940152,-0.5253782,-14.92765,0.6452038,0.49651423,-0.53576374,0.22392628
0.71891695,-1.2313048,-15.207878,0.10625917,0.8336534,0.26958278,0.47016615
0.99378955,-0.5250185,-14.9276495,0.64517164,0.4965538,-0.53577703,0.2238995
0.71842796,-1.2312436,-15.208399,0.10618849,0.83363533,0.26958126,0.47021493
0.9935874,-0.52469623,-14.927648,0.6451451,0.49656007,-0.53581375,0.22387391
0.7179623,-1.2305577,-15.208267,0.10606872,0.83362734,0.26955387,0.47027186
0.9938992,-0.5244066,-14.927647,0.6450594,0.49657133,-0.5359099,0.2238659
0.71815294,-1.2305444,-15.208145,0.106154025,0.8334949,0.26958978,0.47046682
0.9937115,-0.52414554,-14.927647,0.6449821,0.49657837,-0.53601265,0.2238268
0.71832234,-1.2311234,-15.208037,0.10632025,0.83338875,0.26970077,0.4705536
0.9939872,-0.5239097,-14.927647,0.64486504,0.49655485,-0.53617513,0.22382705
0.7190345,-1.2310784,-15.207941,0.106445014,0.83327556,0.26972917,0.47070968
0.9938138,-0.52411914,-14.927647,0.644848,0.49648204,-0.53628874,0.22376566
0.7191385,-1.2310382,-15.207855,0.1064925,0.8332251,0.26974007,0.47078198
0.9940584,-0.52390736,-14.927647,0.6447446,0.49639833,-0.5364936,0.22375849
0.7192344,-1.231001,-15.207776,0.10651806,0.8331574,0.26983202,0.47084323
0.994281,-0.5240964,-14.927647,0.6446988,0.49629354,-0.53664505,0.2237596
0.71932614,-1.2309656,-15.2077,0.10656043,0.8331192,0.26990077,0.4708618
0.99448407,-0.5242689,-14.927647,0.6446782,0.49617484,-0.53678733,0.22374077
0.7194138,-1.2309315,-15.207626,0.10656802,0.83307844,0.26997086,0.47089207
0.9943251,-0.52442664,-14.927647,0.64463055,0.49608046,-0.53694934,0.22369875
0.7194926,-1.2314069,-15.207561,0.10674696,0.83298695,0.27011505,0.47093076
0.9945069,-0.52457106,-14.927647,0.64460886,0.495852,-0.53721714,0.22362475
0.720044,-1.2318348,-15.207502,0.1069176,0.83288604,0.2702064,0.47101796
0.9946737,-0.5247036,-14.927647,0.64454937,0.4955818,-0.5375704,0.22354622
0.7205416,-1.2317643,-15.20745,0.1070121,0.8328339,0.27025375,0.4710616
0.99529606,-0.5248726,-14.927647,0.64446825,0.49531522,-0.53797734,0.2233918
0.72055846,-1.2316996,-15.207401,0.10706455,0.8328395,0.270262,0.47103506
0.9960274,-0.5245682,-14.927647,0.64435446,0.49507433,-0.5384035,0.22322744
0.7205749,-1.2316368,-15.207355,0.10707296,0.8328573,0.27027324,0.47099525
0.99622875,-0.52479523,-14.927647,0.64433694,0.4948569,-0.53868955,0.22306988
0.7210166,-1.2320064,-15.207311,0.10724252,0.8328336,0.27029178,0.47098807
0.99710196,-0.52505445,-14.927646,0.6442495,0.4945957,-0.5390315,0.22307575
0.72101206,-1.2323421,-15.207273,0.107321166,0.8328733,0.27026364,0.470916
0.9972795,-0.52530503,-14.927645,0.64418834,0.49442253,-0.53926957,0.22306086
0.72143203,-1.2322544,-15.207233,0.10738506,0.8328902,0.27022594,0.47089317
0.99821913,-0.5248154,-14.927643,0.64403677,0.49423155,-0.539639,0.22302856
0.7214088,-1.2321697,-15.207196,0.10746252,0.83294576,0.2701582,0.4708162
0.9983306,-0.5243701,-14.927643,0.643955,0.49411175,-0.53986305,0.22298788
0.7218765,-1.2320764,-15.207155,0.10753149,0.8329672,0.27004683,0.4708264
0.9992908,-0.52474713,-14.927642,0.6438555,0.49392313,-0.5400952,0.22313046
0.7223254,-1.2324859,-15.207115,0.10764103,0.8329702,0.27004462,0.47079712
1.00025,-0.52420026,-14.927642,0.64379925,0.49379745,-0.54026824,0.22315213
0.7228412,-1.2317467,-15.207069,0.10766557,0.8330133,0.26985258,0.47082555
1.0011966,-0.5246688,-14.927641,0.64373183,0.49374524,-0.5403772,0.22319846
0.72337455,-1.2316499,-15.207023,0.10773317,0.8330301,0.2697038,0.47086552
1.0020978,-0.52404237,-14.927641,0.6436808,0.49372095,-0.5404676,0.22318032
0.72321,-1.2315632,-15.20698,0.10771238,0.8330869,0.26956764,0.4708478
1.0029485,-0.5245906,-14.927641,0.6436504,0.49365664,-0.5405522,0.22320534
0.7230619,-1.2314854,-15.206943,0.10773242,0.8331577,0.26935777,0.47083795
1.0025784,-0.52504975,-14.927641,0.64375854,0.4935736,-0.5405102,0.22317909
0.72362626,-1.2306726,-15.206901,0.10769896,0.8331654,0.26920798,0.47091764
1.0033563,-0.52435315,-14.927641,0.6436962,0.49354097,-0.5406004,0.22321254
0.7234306,-1.2306495,-15.206864,0.107682526,0.83318233,0.26914605,0.47092685
1.0040629,-0.526016,-14.927641,0.64366215,0.49339196,-0.5406589,0.223498
0.7232571,-1.2306291,-15.206831,0.10771446,0.8331617,0.26909462,0.47098553
1.0035636,-0.52631676,-14.927641,0.643737,0.4932739,-0.5407032,0.22343595
0.7238401,-1.2298356,-15.206796,0.10774142,0.833141,0.26898807,0.47107682
1.0042092,-0.5254957,-14.927641,0.64358646,0.49317202,-0.5409631,0.22346556
