ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--21-15-46
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--21-15-46 ; 5B00-5B04 , 5B00-5B04-5B0F-5B07 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved left. could only see on the 1st trial. iridescent and right next to each other

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.7645506,-1.3122661,-15.19735,0.14450955,0.83162636,0.28397334,0.4548339
1.0087554,-0.5317115,-14.945599,0.6248778,0.56427324,-0.5068088,0.18511707
0.76419383,-1.3119212,-15.19797,0.1444788,0.83164614,0.28389376,0.45485714
1.0094862,-0.53218526,-14.94569,0.6251493,0.56343955,-0.5074802,0.18490052
0.7638435,-1.3115828,-15.197884,0.14443232,0.8316552,0.2838587,0.45487723
1.0109745,-0.5319099,-14.945782,0.62533635,0.56264377,-0.50819314,0.18473321
0.76350254,-1.3112533,-15.197799,0.14435989,0.8316995,0.28381222,0.45484832
1.0124923,-0.53329414,-14.945875,0.62560135,0.5618077,-0.5088214,0.18465076
0.7639143,-1.3109518,-15.198445,0.14435579,0.83168703,0.2837206,0.4549294
1.0139884,-0.5337601,-14.945968,0.62580156,0.561074,-0.509415,0.18456674
0.7642941,-1.3106737,-15.198319,0.14437944,0.8316853,0.28362757,0.45498314
1.0164878,-0.5342284,-14.946061,0.6259044,0.560412,-0.5100383,0.1845078
0.76390964,-1.3104072,-15.198949,0.14432055,0.83170617,0.28355038,0.45501173
1.018888,-0.53361106,-14.94615,0.62595004,0.55984354,-0.5106575,0.18436585
0.76354384,-1.3101534,-15.198774,0.14425209,0.83172643,0.28346136,0.45505193
1.0199811,-0.5330486,-14.946231,0.6260782,0.559322,-0.51112515,0.18421777
0.76319736,-1.309913,-15.198608,0.14421266,0.831735,0.2834202,0.45507425
1.0209718,-0.532539,-14.946303,0.62616444,0.5587958,-0.51165205,0.1840585
0.76366645,-1.3096966,-15.199241,0.14413464,0.8317121,0.2833775,0.4551674
1.0218755,-0.5332283,-14.94637,0.62626517,0.55835676,-0.51206213,0.18390809
0.76330584,-1.3094916,-15.19984,0.1440797,0.83167917,0.28335646,0.45525822
1.021529,-0.5326995,-14.946427,0.6263056,0.55802315,-0.5124293,0.18375988
0.76375633,-1.3100777,-15.199595,0.14410642,0.8315846,0.28337726,0.45540944
1.0223618,-0.5333664,-14.946479,0.6263505,0.55771947,-0.512742,0.18365656
0.76342404,-1.309864,-15.200108,0.14407592,0.8316907,0.28326333,0.45529616
1.0231149,-0.53396934,-14.946526,0.6264806,0.5574315,-0.5129238,0.18357928
0.7631069,-1.3096602,-15.200599,0.14404051,0.8317786,0.28316095,0.45521063
1.0237913,-0.5345109,-14.946568,0.62670857,0.55717003,-0.5129472,0.18352969
0.7628032,-1.3094648,-15.201068,0.14405881,0.83190393,0.2830144,0.4550667
1.0243949,-0.5349942,-14.946606,0.62695307,0.55689234,-0.5129597,0.18350226
0.76329577,-1.3092879,-15.201492,0.14407079,0.831981,0.2829368,0.4549703
1.02625,-0.53543854,-14.946639,0.6270473,0.55669796,-0.51305485,0.18350433
0.76296985,-1.3091192,-15.201898,0.1440636,0.83208185,0.28287256,0.45482814
1.026557,-0.5358265,-14.94667,0.6272355,0.55651236,-0.51305014,0.18343759
0.7626606,-1.3089592,-15.202282,0.14408837,0.8322009,0.28280288,0.4546459
1.0268242,-0.53616434,-14.946695,0.62744004,0.5563641,-0.5130021,0.18332206
0.7623689,-1.3088082,-15.202644,0.14404601,0.8323725,0.2826816,0.45442036
1.0257856,-0.536441,-14.946716,0.62763536,0.5561969,-0.5130083,0.18314297
0.76175207,-1.3085458,-15.203275,0.14404364,0.8327325,0.28238192,0.45394763
1.0264533,-0.5379874,-14.946752,0.6278377,0.5559254,-0.51309747,0.18302388
0.7615314,-1.3084263,-15.203562,0.14400364,0.8329255,0.2821922,0.45372427
1.0267261,-0.5380264,-14.946766,0.62791556,0.5557771,-0.5132486,0.18278354
0.7613265,-1.3083154,-15.203829,0.14401735,0.83310467,0.2820116,0.45350328
1.0269648,-0.53935504,-14.946779,0.62807417,0.55556995,-0.513338,0.18261737
0.7601023,-1.3071865,-15.2041,0.14392817,0.8333121,0.28181833,0.45327038
1.0271677,-0.53921264,-14.948061,0.62810344,0.5554297,-0.5134988,0.18249099
0.7589792,-1.3071934,-15.204349,0.14393988,0.83347225,0.2816195,0.45309576
1.0261265,-0.5390953,-14.94791,0.6281857,0.55537176,-0.5135623,0.1822053
0.7579513,-1.3071997,-15.204576,0.14393754,0.8336153,0.28154433,0.45288014
1.0264196,-0.53899443,-14.94778,0.6281653,0.55529207,-0.51371497,0.18208797
0.757014,-1.3072054,-15.2047825,0.14396626,0.8337652,0.28142834,0.452667
1.0266781,-0.53890544,-14.947666,0.62817466,0.5553385,-0.5136928,0.18197675
0.7561126,-1.3060187,-15.204982,0.14387767,0.83391404,0.28126436,0.45252293
1.0269072,-0.54003686,-14.947565,0.62827224,0.5552338,-0.5136882,0.18197244
0.755315,-1.3061728,-15.205158,0.14387554,0.83402073,0.281118,0.45241794
