ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--21-16-29
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--21-16-29 ; 1C03-1C07 , 1C03-1C07-1C0F-1C0C ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; couldnt make it out

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.6973899,-1.2817708,-15.211893,0.07712471,0.8476885,0.30469975,0.4273571
0.968486,-0.52122873,-14.972855,0.649097,0.5367824,-0.5120749,0.16827664
0.69651335,-1.2796324,-15.21257,0.076347835,0.8475933,0.30462655,0.4277375
0.96861947,-0.5211047,-14.973017,0.6491466,0.5367642,-0.51200134,0.16836727
0.695751,-1.2761225,-15.213159,0.07559695,0.8474311,0.3046492,0.42817584
0.9687501,-0.5204141,-14.973175,0.64922154,0.5367688,-0.51186764,0.16847032
0.6967772,-1.2748564,-15.215312,0.07483709,0.84712225,0.3049415,0.42871225
0.9683261,-0.5208784,-14.973317,0.6493823,0.536676,-0.5117131,0.16861564
0.69763166,-1.2738022,-15.217105,0.07412502,0.84678006,0.30529866,0.42925712
0.9684596,-0.5207809,-14.973958,0.6494968,0.53658444,-0.511606,0.16879116
0.7000107,-1.2729316,-15.218585,0.07355293,0.84634054,0.30584946,0.42983007
0.96857977,-0.5206933,-14.974534,0.64963675,0.53649557,-0.51148623,0.16889763
0.7019778,-1.2722118,-15.2198105,0.072822966,0.8454852,0.3072826,0.4306147
0.96869045,-0.52061254,-14.975065,0.6498001,0.536213,-0.51152664,0.16904426
0.7051325,-1.2732451,-15.219175,0.07241739,0.84472024,0.30847746,0.4313295
0.96879447,-0.5205366,-14.975564,0.64995784,0.5359327,-0.5115754,0.16917902
0.70616597,-1.2725003,-15.218643,0.072035976,0.844154,0.309345,0.43188033
0.96888876,-0.5209141,-14.97557,0.6500995,0.53565925,-0.51162994,0.16933596
0.7069988,-1.2734598,-15.218215,0.07180945,0.8436704,0.3101998,0.43224978
0.9689747,-0.5212583,-14.975575,0.6502492,0.5353826,-0.5116823,0.16947757
0.709184,-1.2742379,-15.217867,0.071684435,0.843231,0.3108711,0.4326454
0.96949637,-0.5215955,-14.975581,0.6503691,0.53508,-0.51180524,0.16960184
0.7110433,-1.2733759,-15.217571,0.07156637,0.84288985,0.31134215,0.432991
0.96955645,-0.5214807,-14.976022,0.65049946,0.5347751,-0.5119282,0.16969298
0.7125637,-1.2741522,-15.21733,0.071578495,0.8425947,0.31176376,0.4332598
0.9696148,-0.5213691,-14.9760065,0.6506093,0.5344576,-0.512082,0.16980809
0.7123736,-1.2747918,-15.217131,0.07155316,0.8423877,0.31213582,0.43339872
0.96966815,-0.52169055,-14.975992,0.6507621,0.5340594,-0.51226896,0.16991158
0.7134673,-1.275768,-15.216826,0.071642675,0.841932,0.31267798,0.4338783
0.9706686,-0.5222986,-14.976416,0.6510424,0.53289,-0.5130551,0.17013726
0.7158757,-1.2761416,-15.21671,0.07175408,0.8416626,0.31288233,0.4342351
0.9716782,-0.52263033,-14.976378,0.65119594,0.5321043,-0.51362973,0.17027493
0.71524507,-1.2764546,-15.216613,0.071787655,0.8415389,0.3129796,0.4343992
0.97215134,-0.52295643,-14.976342,0.6513786,0.53127706,-0.5142307,0.17034516
0.7160165,-1.2767214,-15.21653,0.07185971,0.84139097,0.31310806,0.4345813
0.97322065,-0.5232976,-14.976303,0.6514729,0.5304076,-0.51496506,0.1704752
0.71926147,-1.276949,-15.216458,0.07204595,0.84114087,0.31324574,0.43493512
0.9743233,-0.52364945,-14.976263,0.6515866,0.5295116,-0.5157175,0.17055167
0.7194815,-1.2771446,-15.216397,0.0720922,0.84103113,0.31336877,0.4350511
0.9747339,-0.5239864,-14.976226,0.6516468,0.52860683,-0.5165732,0.17053887
0.72088176,-1.2785245,-15.216347,0.07228718,0.8408331,0.31355992,0.4352637
0.9751145,-0.52494043,-14.976191,0.65173084,0.52768755,-0.517353,0.1707009
0.7221014,-1.2785105,-15.216303,0.07243499,0.8406603,0.31364498,0.43551162
0.97620124,-0.5252116,-14.976154,0.65167457,0.5268464,-0.51823527,0.17083754
0.72311634,-1.2796571,-15.216267,0.07265511,0.8404372,0.3138465,0.43576032
0.977272,-0.526222,-14.976119,0.6517,0.5259503,-0.51908666,0.17091689
0.7239722,-1.2806243,-15.216236,0.07285532,0.8402201,0.3140267,0.43601558
