ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--21-17-46
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--21-17-46 ; 5B0F-5B0C , 5B0F-5B0C-5B00-5B04 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; couldnt differentiate

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.8182406,-1.2831333,-15.221641,0.12378932,0.81876427,0.2942787,0.47718066
1.0997608,-0.54216367,-14.945341,0.62510854,0.49266127,-0.5545821,0.242823
0.81873274,-1.2828568,-15.221873,0.123507515,0.81872195,0.2943631,0.4772742
1.1002142,-0.54185104,-14.945463,0.6250699,0.4924347,-0.5548239,0.24282949
0.8186286,-1.2825849,-15.222102,0.12325207,0.8187059,0.29443228,0.477325
1.0998755,-0.54157794,-14.94557,0.6250796,0.4922399,-0.5550067,0.24278201
0.8191314,-1.2823232,-15.222322,0.123015985,0.81871176,0.29443938,0.47737157
1.1003108,-0.54207593,-14.945672,0.62505585,0.4920266,-0.5552226,0.24278173
0.81897163,-1.2805643,-15.222572,0.12273342,0.8187753,0.29438284,0.47737032
1.1007141,-0.5417748,-14.945766,0.62503254,0.49176908,-0.55550355,0.24272066
0.81881016,-1.2795855,-15.222826,0.12254048,0.8188361,0.29435146,0.47733474
1.1010879,-0.5414956,-14.945854,0.6249433,0.49149626,-0.5558907,0.24261674
0.81779355,-1.2786231,-15.223075,0.122378975,0.8189322,0.29429966,0.47724333
1.1014345,-0.5412367,-14.945935,0.624837,0.49123353,-0.55626786,0.24255821
0.8168801,-1.2786045,-15.223297,0.122295946,0.8190233,0.2942431,0.47714314
1.1010015,-0.54174656,-14.946006,0.6248068,0.49098068,-0.5565388,0.24252646
0.8168934,-1.2785877,-15.223501,0.122223035,0.81910676,0.29416594,0.47706625
1.1013403,-0.5414791,-14.946072,0.6246967,0.4907422,-0.55691046,0.24243978
0.81606615,-1.2785724,-15.223686,0.12217368,0.81921494,0.29407346,0.47695005
1.1016687,-0.5419986,-14.9461355,0.62465847,0.49044022,-0.5572383,0.24239571
0.81539255,-1.2785459,-15.224007,0.122079276,0.81946385,0.29380274,0.4767134
1.1031034,-0.54140025,-14.946252,0.6244313,0.4899217,-0.55800605,0.2422634
0.81554425,-1.2776438,-15.224155,0.122044295,0.8196097,0.2936041,0.47659394
1.1042066,-0.541111,-14.946308,0.62432784,0.48967117,-0.55835086,0.24224207
0.81567997,-1.277714,-15.224288,0.12201841,0.81975746,0.2934233,0.47645786
