ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--21-18-13
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--21-18-13 ; 2C03-2C07 , 2C03-2C07-2C0A-2C0D ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved top left. #44 persistence

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.8322361,-1.294679,-15.2344885,0.15740599,0.8100281,0.27744085,0.49204117
1.0944465,-0.5292488,-14.944852,0.6392458,0.4785572,-0.56402946,0.21028237
0.83190674,-1.2948533,-15.234532,0.15748814,0.81017965,0.27731505,0.49183616
1.0944779,-0.5292352,-14.9449,0.6393278,0.4785631,-0.5639518,0.21022786
0.83161235,-1.295009,-15.2345705,0.15754613,0.8103486,0.27718943,0.49161008
1.0942725,-0.5292211,-14.944947,0.6394438,0.47858453,-0.56383777,0.21013191
0.83134824,-1.2951486,-15.234606,0.15757653,0.81050307,0.2770932,0.49139988
1.0940579,-0.52920645,-14.944998,0.63957053,0.478586,-0.56373745,0.21001208
0.8306254,-1.2952744,-15.234637,0.15757617,0.8106736,0.27703407,0.49115205
1.093832,-0.529191,-14.94505,0.6396978,0.47858563,-0.5636416,0.2098827
0.8299734,-1.2953877,-15.2351265,0.15758336,0.81081104,0.27697766,0.49095458
1.0935872,-0.52917427,-14.9454155,0.6398237,0.47858688,-0.5635388,0.20977233
0.82894576,-1.2950523,-15.235569,0.15754406,0.81094307,0.2769478,0.49076587
1.0933189,-0.5291559,-14.945816,0.6399296,0.47858375,-0.5634776,0.20962054
0.8283565,-1.2952658,-15.23594,0.15739086,0.811009,0.2770974,0.4906217
1.093123,-0.5291191,-14.946238,0.64009917,0.47854245,-0.56343585,0.20930922
0.82828957,-1.2953585,-15.235912,0.15730217,0.8109624,0.27723238,0.49065092
1.092828,-0.5290999,-14.946265,0.64014214,0.47851092,-0.56346405,0.20917408
0.8282285,-1.2954432,-15.235886,0.15720794,0.81092876,0.2773695,0.49065918
1.0929489,-0.5290822,-14.94629,0.64016104,0.47842813,-0.56354964,0.20907483
0.8281726,-1.2955204,-15.235863,0.15711486,0.81090266,0.27746916,0.4906758
1.0930607,-0.5290658,-14.946312,0.640175,0.47832093,-0.5636571,0.20898788
0.82812136,-1.2955914,-15.235842,0.1570054,0.8108795,0.27757227,0.49069077
1.0931646,-0.5290506,-14.946333,0.64019674,0.47820842,-0.56376433,0.20888934
0.82772034,-1.2953178,-15.235819,0.15688728,0.8108738,0.27764103,0.49069905
1.0932596,-0.5290367,-14.946003,0.64020514,0.4780589,-0.5639144,0.20880072
0.82801354,-1.2953974,-15.235468,0.15683396,0.81082976,0.2777238,0.49074206
1.0936778,-0.52902395,-14.946033,0.64016354,0.47790074,-0.56411797,0.20874022
0.8279688,-1.2954705,-15.2351465,0.15675715,0.8108019,0.27779368,0.49077305
1.0940613,-0.52901226,-14.945745,0.6401265,0.47770894,-0.5643305,0.20871806
0.8282257,-1.2955376,-15.234851,0.1567165,0.81075644,0.2778696,0.49081817
1.0944136,-0.52900153,-14.945481,0.6400883,0.4775099,-0.56454885,0.20870061
