ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--21-18-41
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--21-18-41 ; 250F-250C , 250F-250C-2500-2504 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; cant differentiate

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.8107817,-1.2938051,-15.224955,0.12775168,0.81085604,0.30849412,0.48064893
1.015371,-0.54691267,-14.955827,0.6722157,0.4719543,-0.5437052,0.17253964
0.810485,-1.2932951,-15.225013,0.12767589,0.8107978,0.3085016,0.48076242
1.0169208,-0.5470282,-14.955903,0.6720638,0.47182727,-0.54397833,0.17261776
0.81109583,-1.2919065,-15.2259655,0.12748705,0.81079185,0.3081752,0.48103195
1.0171549,-0.547131,-14.955971,0.6721282,0.47138155,-0.5443602,0.1723809
0.8107295,-1.2905622,-15.226888,0.12734531,0.8108453,0.30778307,0.4812305
1.0173627,-0.5472223,-14.956031,0.67220277,0.47097006,-0.54470265,0.17213324
0.8113865,-1.2892956,-15.227757,0.12719022,0.8109248,0.30736667,0.4814036
1.0164399,-0.54729867,-14.956081,0.6721344,0.47083506,-0.5449756,0.17190549
0.81196517,-1.2891654,-15.228522,0.12717737,0.81098104,0.30697554,0.48156184
1.0156633,-0.54632115,-14.956123,0.6720064,0.47079504,-0.5452376,0.17168418
0.811473,-1.2880014,-15.229247,0.12711397,0.8111392,0.3065338,0.48159346
1.0150054,-0.5464828,-14.95616,0.6720247,0.4706863,-0.54530734,0.17168953
0.8110126,-1.2869126,-15.229925,0.12709779,0.81132835,0.30607247,0.48157257
1.0153849,-0.5466206,-14.95619,0.67198116,0.4705161,-0.54549235,0.17173848
0.8105871,-1.2859061,-15.230554,0.1270892,0.81154215,0.30553022,0.481559
1.0157241,-0.5467437,-14.956217,0.6720261,0.47047183,-0.5454784,0.17172793
0.810198,-1.2849858,-15.231127,0.12707682,0.8117408,0.30511174,0.48149276
1.0151305,-0.5468493,-14.956241,0.6721517,0.47043937,-0.54535985,0.17170218
0.8098489,-1.2841604,-15.230434,0.12704316,0.8119927,0.30463457,0.481379
1.0146184,-0.54694045,-14.956261,0.6722921,0.47039196,-0.54523575,0.17167607
0.8095376,-1.283424,-15.229816,0.12708642,0.81230223,0.30404305,0.4812193
1.014983,-0.5470217,-14.956278,0.672391,0.47029752,-0.5451985,0.1716659
0.8104497,-1.2839841,-15.229305,0.12721236,0.8125148,0.3035603,0.48113194
1.015326,-0.5470981,-14.956296,0.67246884,0.4702985,-0.54513043,0.17157482
0.8100783,-1.2833015,-15.228852,0.12719868,0.8127704,0.30304453,0.4810289
1.0156448,-0.5471691,-14.955451,0.6725319,0.470332,-0.54509175,0.17135829
0.80855286,-1.2826939,-15.22845,0.12713023,0.81310743,0.3024944,0.48082364
1.015941,-0.54723513,-14.954666,0.67263216,0.4703184,-0.5450662,0.17108338
0.8071238,-1.2808462,-15.228072,0.12700802,0.8134599,0.30189842,0.48063442
1.0162158,-0.54729635,-14.953938,0.6727106,0.47035244,-0.54498804,0.17093042
0.8058774,-1.2805208,-15.227743,0.12698379,0.81377006,0.30133685,0.480468
1.0164702,-0.547353,-14.953262,0.67272997,0.4703472,-0.5450572,0.17064749
0.8047348,-1.2788615,-15.227442,0.12688786,0.8141759,0.3006695,0.48022392
1.0177236,-0.5474091,-14.952595,0.67264175,0.4703589,-0.5452095,0.17047629
0.8051283,-1.2773865,-15.227173,0.12691195,0.81451756,0.29994258,0.4800927
1.0189345,-0.5474633,-14.951951,0.67256725,0.47038096,-0.545338,0.17029834
0.80401176,-1.2760773,-15.226934,0.12690878,0.81494933,0.29925415,0.4797904
1.0189291,-0.5464539,-14.951391,0.6725182,0.4704036,-0.54549223,0.1699352
0.80303377,-1.2749305,-15.226726,0.12681538,0.8153491,0.29862767,0.4795261
1.0189245,-0.5455695,-14.950901,0.67252153,0.47041598,-0.54554725,0.1697111
0.80052567,-1.2722698,-15.226539,0.12672749,0.81576484,0.29799566,0.47923535
1.0189203,-0.5447892,-14.950468,0.6724912,0.4704119,-0.5456636,0.16946863
0.79833317,-1.269944,-15.228083,0.12655541,0.8161798,0.29734215,0.47898018
1.0189167,-0.54412216,-14.951082,0.67251575,0.47037116,-0.54572916,0.16927275
0.79652977,-1.2697407,-15.227643,0.12650846,0.8164829,0.29687703,0.47876453
1.0189136,-0.5445055,-14.950653,0.67256874,0.47029823,-0.5457652,0.16914877
0.7950447,-1.2695733,-15.227283,0.12658139,0.81671506,0.29651713,0.47857228
1.0199206,-0.5448612,-14.951264,0.67252856,0.47021225,-0.54591644,0.16905972
0.7937774,-1.267652,-15.228751,0.12666062,0.81684715,0.29616955,0.47854108
1.0198169,-0.5442022,-14.951785,0.6724406,0.4701561,-0.54611474,0.16892526
0.7944968,-1.2678572,-15.229907,0.12686695,0.81687295,0.29600897,0.47854173
1.0188142,-0.5445531,-14.952231,0.67252856,0.47005025,-0.54612243,0.16884445
0.7950709,-1.2680209,-15.230829,0.12702368,0.816841,0.29595044,0.47859088
1.0188206,-0.5448547,-14.952615,0.67247134,0.4699247,-0.54627573,0.16892588
0.7955343,-1.2681531,-15.231574,0.12714447,0.8168244,0.2959807,0.47856846
1.0188262,-0.54511535,-14.952946,0.67243487,0.46972674,-0.54647875,0.16896518
0.79430944,-1.2682612,-15.230579,0.12732607,0.8167842,0.29607466,0.47853065
1.0196512,-0.54453224,-14.953246,0.67232656,0.46958315,-0.5466933,0.16910073
0.79487765,-1.2683488,-15.231334,0.1273878,0.8167,0.29618844,0.47858742
1.019588,-0.5448092,-14.953512,0.67233664,0.4694548,-0.5467627,0.16919279
0.7938461,-1.2699023,-15.23045,0.12749085,0.81659275,0.29645368,0.47857875
1.0195318,-0.5450557,-14.95375,0.6723968,0.46929365,-0.54679817,0.16928637
0.7930042,-1.2697382,-15.22973,0.12752983,0.8164836,0.2967064,0.478598
1.0194815,-0.54527634,-14.953962,0.67237765,0.46911514,-0.54692537,0.16944599
0.79370016,-1.2696024,-15.229134,0.12755853,0.8162656,0.29691848,0.47883072
1.0194364,-0.54547477,-14.954152,0.67233384,0.46904263,-0.54701674,0.16952586
0.7942817,-1.2694889,-15.228635,0.12757353,0.81607765,0.29722053,0.47895965
1.0193954,-0.54565454,-14.953609,0.67229325,0.46895748,-0.5471249,0.16957301
0.79477125,-1.2693934,-15.228215,0.12762064,0.81589997,0.2974544,0.4791046
1.0193589,-0.5451274,-14.9538145,0.6721616,0.46894222,-0.5472796,0.16963808
