ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--21-19-02
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--21-19-02 ; 250F-250C , 250F-250C-2503-2507 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; cant differentiate - on top of each other

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.69643855,-1.2887063,-15.20257,0.105751365,0.841428,0.3070699,0.43188393
1.0036573,-0.5372541,-14.941833,0.66652185,0.50142026,-0.52148485,0.17994416
0.696953,-1.2886395,-15.202944,0.105790704,0.84131795,0.30712205,0.43205157
1.0032529,-0.5372846,-14.941981,0.6665541,0.5014624,-0.52141094,0.1799217
0.6974242,-1.2885784,-15.203286,0.10584302,0.8412051,0.30718967,0.43221036
1.00288,-0.53704125,-14.942119,0.6665712,0.5015162,-0.52134764,0.17989168
0.69687814,-1.287541,-15.203604,0.10575498,0.84117043,0.30724594,0.43225953
1.0027937,-0.53707445,-14.9422455,0.6665792,0.5015633,-0.52130026,0.17986786
0.6977796,-1.2876318,-15.202322,0.105897024,0.8409931,0.30740613,0.4324558
1.0026399,-0.5371336,-14.942238,0.66658336,0.50162226,-0.52124906,0.1798366
0.6981419,-1.2885599,-15.201808,0.10598185,0.84092945,0.30751622,0.43248054
1.0023503,-0.5371599,-14.942123,0.66657996,0.501671,-0.52121514,0.17981182
0.6984542,-1.2885128,-15.2013645,0.10600226,0.8408785,0.3075483,0.4325517
1.0022916,-0.53718436,-14.942017,0.6665656,0.5017104,-0.52120465,0.17978556
0.6987373,-1.2884701,-15.200962,0.10601946,0.84081256,0.30761227,0.43263015
1.002237,-0.5372071,-14.941917,0.66655,0.5017353,-0.52120703,0.17976642
0.69818264,-1.2892332,-15.200614,0.10605653,0.8407519,0.30769286,0.4326817
1.0021856,-0.5372286,-14.941824,0.66652685,0.50176173,-0.52121055,0.17976841
0.6984596,-1.2891377,-15.20031,0.106037974,0.840678,0.30772984,0.4328036
1.002135,-0.53724957,-14.941732,0.66650504,0.5017861,-0.5212184,0.17975843
0.69872254,-1.2882634,-15.200021,0.106040634,0.8406067,0.30774355,0.4329317
1.0022779,-0.5372702,-14.941644,0.66646826,0.5018042,-0.521247,0.17976156
0.6997748,-1.2882435,-15.19975,0.10603339,0.8404796,0.3078458,0.43310735
1.0024178,-0.53729033,-14.941555,0.6664323,0.50182545,-0.52127117,0.17976536
0.70076615,-1.2882248,-15.199494,0.10604582,0.84030455,0.3079656,0.43335873
1.0025549,-0.5373101,-14.941469,0.6664039,0.50183284,-0.5212998,0.17976698
0.70260245,-1.2882066,-15.199246,0.106094316,0.84007,0.3080562,0.43373716
1.0026892,-0.53713727,-14.941385,0.66636735,0.5018425,-0.52133787,0.179765
0.70436984,-1.2881892,-15.199009,0.106102616,0.83984774,0.3080767,0.4341507
1.002821,-0.5369679,-14.941303,0.6663395,0.50184804,-0.5213722,0.17975312
0.70505315,-1.288173,-15.198788,0.10616944,0.83957845,0.30820885,0.43456116
1.0029501,-0.5368018,-14.941222,0.6663049,0.5018555,-0.52141094,0.17974848
0.7056815,-1.2881582,-15.1985855,0.10620147,0.8393323,0.3082508,0.43499884
1.0030766,-0.53663915,-14.941142,0.66626793,0.5018592,-0.52145934,0.17973456
0.7062573,-1.2881446,-15.1984,0.10619735,0.8391276,0.3082451,0.4353986
1.003215,-0.53646106,-14.941055,0.6662203,0.5018685,-0.521515,0.1797241
0.70678294,-1.2881321,-15.198231,0.1061771,0.8389127,0.3082453,0.43581736
1.0033731,-0.5362576,-14.940956,0.6661677,0.501864,-0.52158976,0.17971468
0.70726126,-1.2881207,-15.198077,0.1061373,0.83870286,0.30831856,0.43617898
1.0035509,-0.53602904,-14.940845,0.6661183,0.5018616,-0.5216594,0.1797022
0.7076952,-1.2881105,-15.197937,0.10615628,0.83854,0.30834493,0.43646866
1.0037321,-0.5361003,-14.94073,0.6660684,0.5018539,-0.52173144,0.1796995
0.7091886,-1.2881008,-15.197806,0.10620168,0.83832175,0.30841428,0.43682772
1.0036044,-0.5358671,-14.940621,0.666015,0.50185245,-0.52180207,0.17969641
0.7094255,-1.2880924,-15.1987705,0.10617886,0.8382115,0.30840564,0.43705112
1.003791,-0.5359464,-14.94051,0.6659574,0.5018367,-0.5218852,0.17971261
0.70964295,-1.2869681,-15.199656,0.106322594,0.8380218,0.3082716,0.43747416
1.0039805,-0.53602713,-14.940397,0.66593087,0.5017435,-0.5220133,0.17969924
0.7110006,-1.2870955,-15.200467,0.10651372,0.8377776,0.3081753,0.43796298
1.0041732,-0.53610915,-14.940282,0.6659157,0.5015938,-0.52217907,0.17969136
0.71223587,-1.2872114,-15.201205,0.106789306,0.83754367,0.3081166,0.43838444
1.0043808,-0.53580624,-14.940159,0.66587275,0.50144714,-0.52237904,0.17967856
0.7146739,-1.28732,-15.201896,0.10701747,0.8373285,0.3080419,0.43879217
1.0045881,-0.535911,-14.940036,0.66585547,0.5012954,-0.52254885,0.17967275
0.7169826,-1.2860224,-15.202551,0.107228,0.8370959,0.3079835,0.4392253
1.0047984,-0.53558594,-14.940342,0.6658192,0.5010931,-0.52279574,0.1796532
0.71755743,-1.2863157,-15.203113,0.10745661,0.83697784,0.30790097,0.43945223
1.0055176,-0.53572345,-14.940184,0.6657996,0.50083506,-0.523063,0.17966685
0.7180504,-1.286567,-15.203595,0.10764599,0.8368765,0.30791652,0.43958798
1.0063035,-0.5353086,-14.940577,0.6657467,0.5005743,-0.52338225,0.17966022
